20191026,南岸,七公里,整租·南塘源,2室1厅,80平米,1300
20191026,南岸,七公里,整租·宽仁雅苑,3室1厅,90平米,1600
20191026,南岸,七公里,整租·万科金域学府,3室1厅,70平米,1900
20191026,南岸,七公里,整租·万科金域学府,2室2厅,57平米,1850
20191026,南岸,七公里,整租·万科金域学府,3室2厅,77平米,2000
20191026,南岸,七公里,整租·万科金域学府,3室1厅,70平米,1900
20191026,南岸,七公里,整租·保利观塘,2室1厅,48平米,2000
20191026,南岸,七公里,整租·万科金域学府,3室1厅,70平米,1800
20191026,南岸,七公里,整租·学府大道69号如果,1室1厅,73平米,1800
20191026,南岸,七公里,整租·学府大道69号美梦城真,2室1厅,58平米,2100
20191026,南岸,七公里,整租·学府大道69号美梦城真,2室2厅,82平米,2100
20191026,南岸,七公里,整租·万科金域学府,3室2厅,71平米,2000
20191026,南岸,七公里,整租·学府大道69号阳光雅筑,2室1厅,83平米,2000
20191026,南岸,七公里,整租·万科金域学府,2室1厅,57平米,2000
20191026,南岸,七公里,整租·学府大道69号美梦城真,3室1厅,88平米,2000
20191026,南岸,七公里,整租·学府大道69号书香雅筑,3室2厅,106平米,2000
20191026,南岸,七公里,整租·万科金域学府,3室2厅,88平米,2100
20191026,南岸,七公里,整租·万科金域学府,2室2厅,57平米,1800
20191026,南岸,七公里,整租·万科金域学府,3室2厅,77平米,1800
20191026,南岸,七公里,整租·万科金域学府,3室2厅,77平米,2000
20191026,南岸,七公里,整租·万科金域学府,3室2厅,70平米,2000
20191026,南岸,七公里,整租·学府大道69号阳光雅筑,2室2厅,83平米,1800
20191026,南岸,七公里,整租·万科金域学府,3室2厅,77平米,1800
20191026,南岸,七公里,整租·万科金域学府,3室1厅,77平米,2000
20191026,南岸,七公里,整租·万科金域学府,3室2厅,77平米,2000
20191026,南岸,七公里,整租·万科金域学府,2室1厅,65平米,1800
20191026,南岸,七公里,整租·学府大道69号美梦城真,2室1厅,82平米,2100
20191026,南岸,七公里,整租·保利观塘,2室2厅,63平米,1800
20191026,南岸,七公里,整租·学府大道69号阳光雅筑,2室1厅,83平米,2000
20191026,南岸,七公里,整租·学府大道69号阳光雅筑,2室2厅,98平米,2000
20191026,南岸,七公里,整租·万科金域学府时光里,2室1厅,57平米,1800
20191026,南岸,七公里,整租·万科金域学府时光里,2室1厅,57平米,1800
20191026,南岸,七公里,整租·万科金域学府,3室1厅,85平米,2000
20191026,南岸,七公里,整租·万科金域学府,3室2厅,90平米,1800
20191026,南岸,七公里,整租·万科金域学府,3室2厅,86平米,1800
20191026,南岸,七公里,整租·宽仁雅苑,3室2厅,101平米,2000
20191026,南岸,七公里,整租·万科金域学府,3室1厅,77平米,2000
20191026,南岸,七公里,整租·保利观塘,3室2厅,85平米,1200
20191026,南岸,七公里,整租·学府大道69号美梦城真,3室2厅,94平米,2500
20191026,南岸,七公里,整租·万科金域学府,3室2厅,90平米,2500
20191026,南岸,七公里,整租·保利观塘,3室1厅,97平米,1100
20191026,南岸,七公里,整租·保利观塘,3室2厅,111平米,900
20191026,南岸,七公里,整租·保利观塘,3室1厅,97平米,1200
20191026,南岸,七公里,整租·保利观塘,3室2厅,91平米,1000
20191026,南岸,七公里,整租·保利观塘,4室2厅,111平米,1200
20191026,南岸,七公里,整租·保利观塘,4室2厅,111平米,1200
20191026,南岸,七公里,整租·保利观塘,2室1厅,86平米,1300
20191026,南岸,七公里,整租·保利观塘,3室2厅,97平米,1000
20191026,南岸,七公里,整租·保利观塘,3室2厅,97平米,1000
20191026,南岸,七公里,整租·万科金域学府翰江一期,3室2厅,84平米,1200
20191026,南岸,七公里,整租·万科金域学府翰江一期,4室2厅,95平米,1300
20191026,南岸,七公里,整租·万科金域学府,3室2厅,85平米,2300
20191026,南岸,七公里,整租·保利观塘,2室2厅,63平米,1000
20191026,南岸,七公里,整租·保利观塘,3室2厅,98平米,1200
20191026,南岸,七公里,整租·万科金域学府,3室2厅,89平米,2100
20191026,南岸,七公里,整租·万科金域学府,3室1厅,82平米,2300
20191026,南岸,七公里,整租·学府大道69号美梦城真,3室2厅,90平米,2200
20191026,南岸,七公里,整租·保利观塘,3室1厅,100平米,1200
20191026,南岸,七公里,整租·学府大道69号美梦城真,3室1厅,89平米,2200
20191026,南岸,七公里,整租·保利观塘,3室2厅,91平米,1100
20191026,南岸,七公里,整租·万科金域学府,3室2厅,105平米,2700
20191026,南岸,七公里,整租·保利观塘,2室2厅,98平米,1000
20191026,南岸,七公里,整租·保利观塘,3室2厅,96平米,1000
20191026,南岸,七公里,整租·保利观塘,2室1厅,75平米,1000
20191026,南岸,七公里,整租·万科金域学府翰江一期,3室2厅,130平米,1000
20191026,南岸,七公里,整租·保利观塘,3室1厅,98平米,1300
20191026,南岸,七公里,整租·保利观塘,3室1厅,100平米,1100
20191026,南岸,七公里,整租·保利观塘,2室2厅,91平米,1000
20191026,南岸,七公里,整租·万科金域学府,3室2厅,78平米,2400
20191026,南岸,七公里,整租·万科金域学府时光里,3室1厅,70平米,2200
20191026,南岸,七公里,整租·万科金域学府,3室2厅,105平米,2200
20191026,南岸,七公里,整租·万科金域学府,3室2厅,71平米,2300
20191026,南岸,七公里,整租·万科金域学府,3室2厅,77平米,2300
20191026,南岸,七公里,整租·学府大道69号山宅七栋,3室1厅,121平米,2600
20191026,南岸,七公里,整租·保利观塘,3室1厅,90平米,2500
20191026,南岸,七公里,整租·学府大道69号美梦城真,3室2厅,89平米,2200
20191026,南岸,七公里,整租·学府大道69号依林雅筑,4室2厅,150平米,2300
20191026,南岸,七公里,整租·学府大道69号依林雅筑,3室2厅,90平米,2500
20191026,南岸,七公里,整租·万科金域学府,3室1厅,77平米,2200
20191026,南岸,七公里,整租·学府大道69号美梦城真,3室2厅,83平米,2300
20191026,南岸,七公里,整租·万科金域学府,3室2厅,78平米,2600
20191026,南岸,七公里,整租·学府大道69号依林雅筑,4室2厅,150平米,2500
20191026,南岸,七公里,整租·学府大道69号依林雅筑,4室2厅,136平米,2200
20191026,南岸,七公里,整租·交通大学家属院,3室2厅,87平米,2600
20191026,南岸,七公里,整租·万科金域学府,3室2厅,70平米,1700
20191026,南岸,七公里,整租·交通大学5号,3室1厅,74平米,1500
20191026,南岸,七公里,整租·保利观塘,2室2厅,70平米,1600
20191026,南岸,七公里,整租·万科金域学府,2室2厅,57平米,1400
20191026,南岸,七公里,整租·保利观塘,3室2厅,112平米,3000
20191026,南岸,七公里,整租·万科金域学府,2室2厅,57平米,1700
20191026,南岸,七公里,整租·万科金域学府翰江一期,3室2厅,95平米,3000
20191026,南岸,七公里,整租·学府大道69号山宅七栋,4室2厅,179平米,4000
20191026,南岸,七公里,整租·学府大道69号美梦城真,2室2厅,63平米,2000
20191026,南岸,七公里,整租·万科金域学府,3室1厅,85平米,2000
20191026,南岸,七公里,整租·万科金域学府,3室2厅,90平米,1800
20191026,南岸,七公里,整租·万科金域学府,3室2厅,70平米,2000
20191026,南岸,七公里,整租·万科金域学府,3室2厅,85平米,2100
20191026,南岸,七公里,整租·万科金域学府,3室2厅,77平米,2000
20191026,南岸,七公里,整租·万科金域学府,3室2厅,105平米,2000
20191026,南岸,七公里,整租·保利观塘,2室2厅,64平米,2000
20191026,南岸,七公里,整租·保利观塘,3室1厅,98平米,2000
20191026,南岸,七公里,整租·万科金域学府时光里,2室1厅,56平米,2000
20191026,南岸,七公里,整租·万科金域学府时光里,2室1厅,45平米,1800
20191026,南岸,七公里,整租·万科金域学府时光里,2室1厅,57平米,2000
20191026,南岸,七公里,整租·万科金域学府时光里,2室1厅,57平米,1800
20191026,南岸,七公里,整租·万科金域学府,2室1厅,57平米,1800
20191026,南岸,七公里,整租·学府大道69号书香雅筑,3室2厅,103平米,2200
20191026,南岸,七公里,整租·万科金域学府,3室2厅,78平米,2300
20191026,南岸,七公里,整租·万科金域学府,3室2厅,105平米,2500
20191026,南岸,七公里,整租·万科金域学府,3室1厅,77平米,2500
20191026,南岸,七公里,合租·万科金域学府,3居室,86平米,2200
20191026,南岸,七公里,整租·保利观塘,3室2厅,120平米,2500
20191026,南岸,七公里,整租·学府大道69号山宅七栋,3室2厅,135平米,2800
20191026,南岸,七公里,整租·万科金域学府,3室2厅,86平米,2300
20191026,南岸,七公里,整租·万科金域学府翰江一期,3室2厅,84平米,2350
20191026,南岸,七公里,整租·万科金域学府,3室1厅,86平米,3000
20191026,南岸,七公里,整租·万科金域学府,3室2厅,93平米,3200
20191026,南岸,七公里,整租·保利观塘,3室2厅,90平米,3000
20191026,南岸,七公里,整租·保利观塘,1室1厅,101平米,13000
20191026,南岸,七公里,整租·保利观塘,4室1厅,117平米,3500
20191026,南岸,七公里,整租·学府大道69号山宅七栋,3室2厅,125平米,3000
20191026,南岸,七公里,整租·学府大道69号美梦城真,3室2厅,89平米,2200
20191026,南岸,七公里,整租·学府大道69号山宅七栋,2室2厅,121平米,1000
