20191026,江北,石马河,合租·民悦新居,1居室,15平米,850
20191026,江北,石马河,合租·金科十年城西区,3居室,30平米,958
20191026,江北,石马河,整租·金科十年城北区,3室1厅,93平米,2500
20191026,江北,石马河,合租·金科十年城西区,3居室,20平米,848
20191026,江北,石马河,整租·金科十年城西区,2室2厅,77平米,2400
20191026,江北,石马河,合租·金科十年城西区,4居室,13平米,648
20191026,江北,石马河,整租·凤凰湾繁华里,3室1厅,81平米,2500
20191026,江北,石马河,合租·金科十年城西区,4居室,17平米,880
20191026,江北,石马河,整租·凤凰湾繁华里,3室2厅,82平米,2500
20191026,江北,石马河,整租·万科悦湾北区,3室2厅,99平米,2500
20191026,江北,石马河,整租·金科十年城西区,2室2厅,80平米,2400
20191026,江北,石马河,整租·万科悦湾北区,2室2厅,77平米,2100
20191026,江北,石马河,整租·万科悦湾北区,3室2厅,90平米,2400
20191026,江北,石马河,合租·金科十年城西区,4居室,22平米,950
20191026,江北,石马河,整租·凤凰湾繁华里,2室2厅,77平米,2200
20191026,江北,石马河,合租·金科十年城西区,4居室,23平米,858
20191026,江北,石马河,整租·凤凰湾繁华里,3室2厅,82平米,2300
20191026,江北,石马河,整租·凤凰湾驭峰,3室1厅,88平米,2100
20191026,江北,石马河,整租·金科十年城西区,2室2厅,76平米,2300
20191026,江北,石马河,整租·凤凰湾天骄,2室1厅,75平米,2200
20191026,江北,石马河,整租·金科十年城东区,2室2厅,86平米,2500
20191026,江北,石马河,整租·大川滨水城,3室2厅,126平米,2500
20191026,江北,石马河,整租·金科十年城西区,2室2厅,78平米,2400
20191026,江北,石马河,合租·金科十年城西区,4居室,18平米,800
20191026,江北,石马河,整租·金科十年城西区,3室2厅,80平米,2400
20191026,江北,石马河,合租·金科十年城西区,4居室,20平米,828
20191026,江北,石马河,整租·壹江城,2室2厅,79平米,2300
20191026,江北,石马河,合租·金科十年城西区,4居室,30平米,998
20191026,江北,石马河,整租·壹江城,3室2厅,129平米,2500
20191026,江北,石马河,合租·金科十年城西区,4居室,30平米,958
20191026,江北,石马河,合租·金科十年城东区,4居室,30平米,1008
20191026,江北,石马河,合租·金科十年城北区,3居室,15平米,828
20191026,江北,石马河,整租·壹江城,2室2厅,79平米,2300
20191026,江北,石马河,合租·金科十年城西区,4居室,8平米,659
20191026,江北,石马河,整租·壹江城,3室2厅,96平米,2500
20191026,江北,石马河,合租·金科十年城西区,4居室,15平米,648
20191026,江北,石马河,整租·壹江城,2室2厅,77平米,2100
20191026,江北,石马河,合租·金科十年城西区,4居室,30平米,1078
20191026,江北,石马河,整租·壹江城,2室2厅,78平米,2300
20191026,江北,石马河,整租·金科十年城西区,2室2厅,78平米,2500
20191026,江北,石马河,整租·国奥村二期,2室2厅,62平米,2400
20191026,江北,石马河,整租·国奥村二期,2室1厅,50平米,2200
20191026,江北,石马河,整租·金科十年城东区,2室2厅,86平米,2400
20191026,江北,石马河,合租·金科十年城北区,4居室,15平米,878
20191026,江北,石马河,整租·凤凰湾驭峰,3室1厅,81平米,2200
20191026,江北,石马河,合租·金科十年城北区,4居室,30平米,1078
20191026,江北,石马河,整租·金科十年城西区,2室2厅,81平米,2400
20191026,江北,石马河,整租·凤凰湾天骄,3室1厅,80平米,2100
20191026,江北,石马河,整租·凤凰湾驭府,4室1厅,162平米,2500
20191026,江北,石马河,整租·凤凰湾繁华里,3室2厅,80平米,2500
20191026,江北,石马河,整租·星辰苑,2室1厅,65平米,2500
20191026,江北,石马河,整租·万科悦湾北区,3室2厅,99平米,2500
20191026,江北,石马河,整租·万科悦湾北区,3室2厅,100平米,2500
20191026,江北,石马河,合租·金科十年城北区,4居室,15平米,848
20191026,江北,石马河,整租·金科十年城西区,2室2厅,78平米,2200
20191026,江北,石马河,合租·金科十年城北区,3居室,25平米,900
20191026,江北,石马河,整租·国奥村二期,2室1厅,62平米,2200
20191026,江北,石马河,整租·大川水岸菲尔小城,2室1厅,84平米,1600
20191026,江北,石马河,整租·国奥村时光漫,2室1厅,60平米,2100
20191026,江北,石马河,整租·壹江城,2室2厅,79平米,1800
20191026,江北,石马河,整租·金科桦林景苑,3室2厅,110平米,2400
20191026,江北,石马河,整租·壹江城,2室1厅,88平米,2100
20191026,江北,石马河,整租·金科十年城西区,2室1厅,77平米,2500
20191026,江北,石马河,整租·金科十年城西区,2室2厅,81平米,2100
20191026,江北,石马河,整租·壹江城,2室2厅,89平米,2300
20191026,江北,石马河,整租·万科悦湾北区,2室2厅,78平米,2100
20191026,江北,石马河,整租·金科十年城西区,2室2厅,77平米,2300
20191026,江北,石马河,整租·凤凰湾驭峰,3室2厅,89平米,2300
20191026,江北,石马河,整租·大川水岸菲尔小城,3室2厅,105平米,2100
20191026,江北,石马河,整租·壹江城,3室1厅,105平米,2500
20191026,江北,石马河,整租·万科悦湾北区,4室2厅,170平米,2500
20191026,江北,石马河,整租·壹江城,3室2厅,99平米,2200
20191026,江北,石马河,整租·华美翡丽山,4室2厅,130平米,1000
20191026,江北,石马河,整租·华美翡丽山,4室2厅,122平米,1000
20191026,江北,石马河,整租·国奥村二期,2室2厅,62平米,2600
20191026,江北,石马河,整租·壹江城,2室2厅,81平米,900
20191026,江北,石马河,整租·大川滨水城,2室2厅,74平米,1000
20191026,江北,石马河,整租·壹江城,2室1厅,79平米,1000
20191026,江北,石马河,整租·万科悦湾北区,3室2厅,99平米,2600
20191026,江北,石马河,整租·凤凰湾繁华里,3室2厅,80平米,1000
20191026,江北,石马河,整租·国奥村二期,3室1厅,99平米,3200
20191026,江北,石马河,整租·国奥村时光漫,3室1厅,84平米,3000
20191026,江北,石马河,整租·国奥村时光漫,3室1厅,92平米,2800
20191026,江北,石马河,整租·金科十年城北区,2室1厅,78平米,1200
20191026,江北,石马河,整租·国奥村时光漫,3室2厅,80平米,2800
20191026,江北,石马河,整租·壹江城,3室2厅,105平米,3000
20191026,江北,石马河,合租·竹园小区,4居室,23平米,700
20191026,江北,石马河,整租·万科悦湾南区,4室2厅,150平米,2600
20191026,江北,石马河,整租·国奥村时光漫,3室1厅,84平米,2600
20191026,江北,石马河,整租·凤凰湾繁华里,3室2厅,84平米,800
20191026,江北,石马河,整租·海悦蓝庭,3室2厅,90平米,2600
20191026,江北,石马河,整租·国奥村时光漫,3室2厅,124平米,1000
20191026,江北,石马河,合租·竹园小区,4居室,20平米,650
20191026,江北,石马河,整租·金科十年城东区,3室2厅,108平米,2800
20191026,江北,石马河,合租·竹园小区,4居室,24平米,750
20191026,江北,石马河,整租·万科悦湾北区,3室2厅,99平米,2600
20191026,江北,石马河,整租·壹江城,3室2厅,144平米,3000
20191026,江北,石马河,整租·大川滨水城,3室2厅,139平米,1000
20191026,江北,石马河,整租·金科十年城西区,3室2厅,120平米,2800
20191026,江北,石马河,整租·国奥村二期,3室1厅,93平米,3000
20191026,江北,石马河,整租·凤凰湾驭城,1室2厅,60平米,1300
20191026,江北,石马河,整租·金科十年城北区,3室1厅,112平米,1300
20191026,江北,石马河,合租·竹园小区,4居室,26平米,850
20191026,江北,石马河,整租·凤凰湾天悦,3室2厅,86平米,1000
20191026,江北,石马河,整租·金科十年城西区,3室1厅,96平米,1300
20191026,江北,石马河,整租·凤凰湾天悦,3室1厅,99平米,1200
20191026,江北,石马河,整租·壹江城,3室2厅,108平米,2800
20191026,江北,石马河,整租·海悦蓝庭,3室1厅,106平米,2800
20191026,江北,石马河,整租·金科十年城北区,3室2厅,112平米,2600
20191026,江北,石马河,整租·国奥村时光漫,3室1厅,88平米,2800
20191026,江北,石马河,整租·金科十年城西区,3室2厅,95平米,2700
20191026,江北,石马河,整租·凤凰湾天骄,3室1厅,93平米,3200
20191026,江北,石马河,整租·国奥村时光漫,3室2厅,85平米,3000
20191026,江北,石马河,整租·国奥村时光漫,3室2厅,124平米,3000
20191026,江北,石马河,整租·金科十年城东区,2室2厅,81平米,2700
20191026,江北,石马河,整租·国奥村时光漫,3室2厅,100平米,800
20191026,江北,石马河,整租·凤凰湾驭城,3室2厅,85平米,1200
20191026,江北,石马河,整租·凤凰湾天骄,3室2厅,81平米,3000
20191026,江北,石马河,整租·国奥村二期,3室1厅,108平米,2700
20191026,江北,石马河,整租·国奥村二期,2室1厅,81平米,2800
20191026,江北,石马河,整租·海悦香缇,2室2厅,101平米,3200
20191026,江北,石马河,整租·国奥村时光漫,3室2厅,85平米,2900
20191026,江北,石马河,整租·国奥村时光漫,3室2厅,85平米,2900
20191026,江北,石马河,整租·金科十年城西区,3室2厅,98平米,2700
20191026,江北,石马河,整租·国奥村二期,3室2厅,108平米,3200
20191026,江北,石马河,整租·凤凰湾繁华里,2室1厅,70平米,2000
20191026,江北,石马河,整租·万科悦湾北区,2室2厅,77平米,2600
20191026,江北,石马河,整租·金科十年城西区,3室2厅,98平米,2800
20191026,江北,石马河,整租·金科十年城西区,3室2厅,98平米,3000
20191026,江北,石马河,整租·金科十年城西区,2室2厅,74平米,2800
20191026,江北,石马河,整租·海悦蓝庭,3室2厅,106平米,3200
20191026,江北,石马河,整租·国奥村时光漫,3室2厅,84平米,3000
20191026,江北,石马河,整租·万科悦湾北区,2室2厅,77平米,2000
20191026,江北,石马河,整租·金科十年城西区,3室2厅,96平米,3000
20191026,江北,石马河,整租·民悦新居,2室1厅,80平米,1600
20191026,江北,石马河,整租·金科十年城西区,3室2厅,105平米,3200
20191026,江北,石马河,整租·金科十年城西区,3室2厅,74平米,3200
20191026,江北,石马河,整租·金科十年城西区,2室2厅,109平米,2700
20191026,江北,石马河,整租·金科十年城西区,3室1厅,111平米,3200
20191026,江北,石马河,整租·金科十年城东区,3室1厅,85平米,2800
20191026,江北,石马河,整租·凤凰湾驭峰,3室1厅,81平米,2700
20191026,江北,石马河,整租·星辰苑,2室2厅,82平米,2700
20191026,江北,石马河,整租·金科十年城东区,3室2厅,109平米,3200
20191026,江北,石马河,整租·凤凰湾繁华里,3室2厅,82平米,2800
20191026,江北,石马河,整租·金科十年城西区,2室2厅,80平米,2800
20191026,江北,石马河,整租·壹江城,3室2厅,101平米,2600
20191026,江北,石马河,整租·万科悦湾北区,3室2厅,114平米,1500
20191026,江北,石马河,整租·凤凰湾繁华里,3室2厅,69平米,1600
20191026,江北,石马河,整租·凤凰湾天悦,2室1厅,76平米,1800
20191026,江北,石马河,整租·华美翡丽山,3室2厅,123平米,1500
20191026,江北,石马河,整租·凤凰湾繁华里,3室2厅,80平米,1500
20191026,江北,石马河,整租·凤凰湾繁华里,4室2厅,85平米,1500
20191026,江北,石马河,整租·凤凰湾驭府,3室2厅,128平米,4200
20191026,江北,石马河,整租·金科十年城西区,3室2厅,113平米,3300
20191026,江北,石马河,整租·曦城,2室2厅,71平米,1600
20191026,江北,石马河,整租·凤凰湾天骄,3室2厅,113平米,1600
20191026,江北,石马河,整租·壹江城,4室2厅,135平米,1500
20191026,江北,石马河,整租·凤凰湾天悦,3室2厅,97平米,1500
20191026,江北,石马河,整租·凤凰湾驭府,2室2厅,102平米,2000
20191026,江北,石马河,整租·凤凰湾天骄,4室2厅,113平米,1500
20191026,江北,石马河,整租·海悦蓝庭,3室2厅,110平米,3300
20191026,江北,石马河,整租·万科悦湾南区,4室2厅,167平米,4500
20191026,江北,石马河,整租·壹江城,4室2厅,152平米,4300
20191026,江北,石马河,整租·金科十年城北区,4室2厅,103平米,3600
20191026,江北,石马河,整租·金科十年城东区,3室1厅,108平米,3400
20191026,江北,石马河,整租·万科悦湾南区,4室2厅,202平米,5500
20191026,江北,石马河,整租·金科十年城洋房,4室2厅,141平米,6500
20191026,江北,石马河,整租·金科十年城东区,3室2厅,98平米,3300
20191026,江北,石马河,整租·金科十年城西区,3室2厅,113平米,3500
20191026,江北,石马河,整租·金科十年城北区,3室1厅,110平米,3500
20191026,江北,石马河,整租·凤凰湾天骄,4室1厅,113平米,3500
20191026,江北,石马河,整租·国奥村时光漫,4室1厅,124平米,3800
20191026,江北,石马河,整租·国奥村时光漫,3室2厅,124平米,4000
20191026,江北,石马河,整租·国奥村时光漫,3室1厅,101平米,3500
20191026,江北,石马河,整租·国奥村时光漫,3室1厅,97平米,3800
20191026,江北,石马河,整租·万科悦湾北区,4室1厅,170平米,3500
20191026,江北,石马河,整租·金科十年城北区,3室2厅,113平米,3500
20191026,江北,石马河,整租·金科十年城东区,3室2厅,97平米,3400
20191026,江北,石马河,整租·金科十年城洋房,2室2厅,122平米,4300
20191026,江北,石马河,整租·凤凰湾驭府,4室2厅,161平米,3500
20191026,江北,石马河,整租·国奥村时光漫,3室2厅,125平米,5000
20191026,江北,石马河,整租·大川水岸,5室4厅,341平米,20000
20191026,江北,石马河,整租·星辰苑,3室2厅,116平米,3400
20191026,江北,石马河,整租·金科十年城洋房,3室2厅,133平米,4700
20191026,江北,石马河,整租·凤凰湾纯水岸,7室4厅,219平米,15000
20191026,江北,石马河,整租·金科十年城西区,3室2厅,112平米,3700
20191026,江北,石马河,整租·凤凰湾驭峰,4室2厅,113平米,3600
20191026,江北,石马河,整租·国奥村时光漫,2室2厅,101平米,5000
20191026,江北,石马河,整租·金科十年城西区,3室2厅,109平米,3500
20191026,江北,石马河,整租·金科十年城洋房,4室2厅,133平米,4300
20191026,江北,石马河,整租·半城中央,4室2厅,280平米,7000
20191026,江北,石马河,整租·半城中央,6室2厅,234平米,10000
20191026,江北,石马河,整租·翠苑小区,3室2厅,134平米,2300
20191026,江北,石马河,整租·万科悦湾南区,4室2厅,130平米,2300
20191026,江北,石马河,整租·金科十年城西区,2室2厅,75平米,2500
20191026,江北,石马河,整租·万科悦湾北区,4室2厅,170平米,2500
20191026,江北,石马河,整租·国奥村时光漫,3室1厅,84平米,2500
20191026,江北,石马河,整租·海悦蓝庭,3室1厅,92平米,2300
20191026,江北,石马河,整租·壹江城,2室2厅,80平米,2200
20191026,江北,石马河,整租·凤凰湾繁华里,3室1厅,73平米,2500
20191026,江北,石马河,整租·国奥村时光漫,3室2厅,83平米,2300
20191026,江北,石马河,整租·凤凰湾天悦,3室2厅,87平米,2400
20191026,江北,石马河,整租·国奥村二期,2室1厅,51平米,2300
20191026,江北,石马河,整租·国奥村二期,3室1厅,64平米,2500
20191026,江北,石马河,整租·凤凰湾驭城,2室1厅,60平米,2300
20191026,江北,石马河,整租·壹江城,3室2厅,108平米,2500
20191026,江北,石马河,整租·万科悦湾北区,2室1厅,76平米,2300
20191026,江北,石马河,整租·金科十年城西区,3室2厅,98平米,2700
20191026,江北,石马河,整租·凤凰湾繁华里,3室2厅,82平米,2700
20191026,江北,石马河,整租·凤凰湾驭峰,3室2厅,106平米,3000
20191026,江北,石马河,整租·大川滨水城,3室2厅,126平米,3000
20191026,江北,石马河,整租·国奥村时光漫,3室2厅,97平米,2800
20191026,江北,石马河,整租·国奥村时光漫,3室2厅,84平米,3000
20191026,江北,石马河,整租·国奥村时光漫,3室1厅,84平米,3000
20191026,江北,石马河,整租·国奥村时光漫,3室1厅,87平米,2800
20191026,江北,石马河,整租·国奥村时光漫,3室2厅,89平米,3000
20191026,江北,石马河,整租·国奥村二期,3室1厅,101平米,2800
20191026,江北,石马河,整租·凤凰湾繁华里,3室2厅,81平米,3000
20191026,江北,石马河,整租·海悦蓝庭,3室1厅,110平米,3100
20191026,江北,石马河,整租·金科十年城西区,2室2厅,77平米,2600
20191026,江北,石马河,整租·金科十年城东区,3室2厅,96平米,2900
20191026,江北,石马河,整租·金科十年城西区,3室2厅,118平米,3200
20191026,江北,石马河,整租·壹江城,3室1厅,108平米,2600
20191026,江北,石马河,整租·海悦蓝庭,3室2厅,106平米,3200
20191026,江北,石马河,整租·海悦蓝庭,4室1厅,140平米,3300
20191026,江北,石马河,整租·海悦香缇,4室1厅,110平米,4500
20191026,江北,石马河,整租·海悦香缇,3室2厅,120平米,3500
20191026,江北,石马河,整租·金科十年城洋房,5室1厅,174平米,5500
20191026,江北,石马河,整租·半城中央,5室1厅,212平米,10000
20191026,江北,石马河,整租·万科悦湾南区,4室1厅,150平米,4000
