20191026,渝中,袁家岗,整租·袁家岗1号,1室1厅,29平米,800
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,45平米,1700
20191026,渝中,袁家岗,整租·金茂未来域,1室1厅,60平米,1700
20191026,渝中,袁家岗,整租·金茂珑悦,1室1厅,33平米,1850
20191026,渝中,袁家岗,整租·文化六村,1室1厅,50平米,1000
20191026,渝中,袁家岗,整租·俊豪时代,1室1厅,60平米,1650
20191026,渝中,袁家岗,整租·中新城上城,2室1厅,58平米,2200
20191026,渝中,袁家岗,整租·文化六村,1室1厅,56平米,900
20191026,渝中,袁家岗,整租·中新城上城,2室1厅,60平米,2000
20191026,渝中,袁家岗,整租·金茂珑悦,2室1厅,64平米,2300
20191026,渝中,袁家岗,整租·金茂未来域,1室0厅,47平米,2000
20191026,渝中,袁家岗,整租·俊豪时代,1室1厅,56平米,1600
20191026,渝中,袁家岗,整租·金茂珑悦,2室1厅,64平米,2400
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,47平米,1700
20191026,渝中,袁家岗,整租·金茂未来域,1室0厅,45平米,2000
20191026,渝中,袁家岗,整租·上城奥悦,2室1厅,56平米,2200
20191026,渝中,袁家岗,整租·金茂珑悦,1室1厅,47平米,2000
20191026,渝中,袁家岗,整租·文化六村,2室1厅,60平米,1100
20191026,渝中,袁家岗,整租·俊豪时代,1室1厅,50平米,2100
20191026,渝中,袁家岗,整租·上城奥悦,2室1厅,61平米,2200
20191026,渝中,袁家岗,整租·袁家岗2号,4室2厅,138平米,3000
20191026,渝中,袁家岗,整租·上城奥悦,1室1厅,68平米,2000
20191026,渝中,袁家岗,整租·上城奥悦,2室1厅,59平米,2100
20191026,渝中,袁家岗,整租·上城奥悦,2室1厅,62平米,2000
20191026,渝中,袁家岗,整租·金茂未来域,1室0厅,47平米,2000
20191026,渝中,袁家岗,整租·金茂珑悦,3室1厅,89平米,3000
20191026,渝中,袁家岗,整租·韵动人家(渝中),3室1厅,121平米,3000
20191026,渝中,袁家岗,整租·金茂珑悦,3室1厅,90平米,3200
20191026,渝中,袁家岗,整租·金茂珑悦,3室1厅,90平米,3300
20191026,渝中,袁家岗,合租·渝中花园3号,4居室,25平米,900
20191026,渝中,袁家岗,整租·中新城上城,2室1厅,58平米,2500
20191026,渝中,袁家岗,合租·渝中花园3号,4居室,20平米,600
20191026,渝中,袁家岗,整租·金茂珑悦,2室2厅,80平米,2700
20191026,渝中,袁家岗,合租·渝中花园3号,4居室,25平米,900
20191026,渝中,袁家岗,整租·自由左岸,1室1厅,40平米,1400
20191026,渝中,袁家岗,合租·金茂珑悦,5居室,9平米,650
20191026,渝中,袁家岗,整租·金茂珑悦,1室1厅,53平米,1500
20191026,渝中,袁家岗,整租·保利国宾上院,3室2厅,151平米,4000
20191026,渝中,袁家岗,整租·保利国宾上院,4室2厅,159平米,4000
20191026,渝中,袁家岗,整租·金茂珑悦,2室1厅,78平米,2700
20191026,渝中,袁家岗,整租·金茂珑悦,3室1厅,95平米,3200
20191026,渝中,袁家岗,合租·中新城上城,5居室,18平米,850
20191026,渝中,袁家岗,整租·中新城上城,3室2厅,137平米,3800
20191026,渝中,袁家岗,合租·袁家小苑,4居室,20平米,1000
20191026,渝中,袁家岗,整租·中新城上城,2室2厅,103平米,2800
20191026,渝中,袁家岗,整租·中新城上城,2室2厅,74平米,2500
20191026,渝中,袁家岗,整租·金茂珑悦,3室2厅,121平米,3600
20191026,渝中,袁家岗,整租·中新城上城,2室2厅,76平米,2600
20191026,渝中,袁家岗,整租·金茂珑悦,2室2厅,80平米,2700
20191026,渝中,袁家岗,整租·上城奥悦,3室1厅,87平米,2500
20191026,渝中,袁家岗,整租·中新城上城,2室0厅,110平米,3200
20191026,渝中,袁家岗,合租·中新城上城,5居室,11平米,800
20191026,渝中,袁家岗,整租·中新城上城,2室1厅,110平米,3200
20191026,渝中,袁家岗,合租·袁家小苑,4居室,15平米,800
20191026,渝中,袁家岗,整租·中新城上城,3室1厅,99平米,3100
20191026,渝中,袁家岗,合租·袁家小苑,4居室,15平米,750
20191026,渝中,袁家岗,整租·中新城上城,2室2厅,85平米,2600
20191026,渝中,袁家岗,合租·金茂珑悦,5居室,10平米,780
20191026,渝中,袁家岗,合租·新医村社区,5居室,18平米,900
20191026,渝中,袁家岗,合租·新医村社区,5居室,18平米,1100
20191026,渝中,袁家岗,整租·金茂珑悦,3室2厅,82平米,2800
20191026,渝中,袁家岗,合租·袁家小苑,4居室,12平米,700
20191026,渝中,袁家岗,整租·金茂珑悦,3室1厅,96平米,2800
20191026,渝中,袁家岗,合租·中新城上城,5居室,13平米,800
20191026,渝中,袁家岗,整租·金茂珑悦,3室2厅,98平米,3000
20191026,渝中,袁家岗,合租·中新城上城,5居室,13平米,900
20191026,渝中,袁家岗,整租·金茂珑悦,3室1厅,95平米,3300
20191026,渝中,袁家岗,整租·金茂珑悦,2室1厅,80平米,2700
20191026,渝中,袁家岗,整租·金茂珑悦,2室2厅,79平米,3000
20191026,渝中,袁家岗,整租·袁家岗居住区,4室2厅,139平米,3500
20191026,渝中,袁家岗,整租·金茂珑悦,3室2厅,97平米,3500
20191026,渝中,袁家岗,合租·中新城上城,5居室,15平米,1250
20191026,渝中,袁家岗,整租·金茂珑悦,3室2厅,130平米,1800
20191026,渝中,袁家岗,整租·金茂珑悦,1室1厅,39平米,1800
20191026,渝中,袁家岗,整租·自由左岸,1室0厅,39平米,1600
20191026,渝中,袁家岗,整租·金茂珑悦,3室2厅,130平米,1700
20191026,渝中,袁家岗,整租·金茂未来域,1室1厅,45平米,1800
20191026,渝中,袁家岗,整租·上城奥悦,2室2厅,70平米,2300
20191026,渝中,袁家岗,整租·金茂未来域,1室0厅,56平米,2300
20191026,渝中,袁家岗,整租·金茂未来域,1室0厅,47平米,2200
20191026,渝中,袁家岗,整租·保利国宾上院,3室2厅,159平米,4300
20191026,渝中,袁家岗,独栋·寓居重庆,袁家岗店,26间在租,1700-2000
20191026,渝中,袁家岗,整租·中新城上城,2室2厅,97平米,3000
20191026,渝中,袁家岗,整租·金茂珑悦,1室1厅,40平米,1700
20191026,渝中,袁家岗,整租·金茂珑悦,3室1厅,110平米,2500
20191026,渝中,袁家岗,整租·金茂珑悦,1室1厅,52平米,1600
20191026,渝中,袁家岗,整租·中新城上城,3室1厅,128平米,3500
20191026,渝中,袁家岗,独栋·寓居重庆,袁家岗店,38平米,1950
20191026,渝中,袁家岗,独栋·寓居重庆,袁家岗店,47平米,1950
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,39平米,1900
20191026,渝中,袁家岗,整租·金茂珑悦,3室2厅,98平米,2500
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,39平米,1850
20191026,渝中,袁家岗,整租·金茂珑悦,3室2厅,107平米,4000
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,47平米,1900
20191026,渝中,袁家岗,独栋·寓居重庆,袁家岗店,9间在租,1950-2300
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,39平米,1900
20191026,渝中,袁家岗,整租·金茂珑悦,1室1厅,39平米,1900
20191026,渝中,袁家岗,整租·金茂珑悦,1室1厅,39平米,1900
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,39平米,1900
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,37平米,1900
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,39平米,1800
20191026,渝中,袁家岗,整租·金茂珑悦,1室1厅,39平米,1900
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,39平米,1850
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,39平米,1900
20191026,渝中,袁家岗,整租·金茂珑悦,1室1厅,39平米,1900
20191026,渝中,袁家岗,整租·金茂珑悦,1室1厅,39平米,1900
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,39平米,1800
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,39平米,1850
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,47平米,1800
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,47平米,1800
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,39平米,1850
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,39平米,1900
20191026,渝中,袁家岗,整租·金茂珑悦,1室1厅,39平米,1900
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,47平米,1900
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,40平米,1900
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,39平米,1900
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,39平米,1800
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,47平米,1800
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,47平米,1900
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,47平米,1900
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,47平米,1900
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,39平米,1900
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,40平米,1900
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,39平米,1900
20191026,渝中,袁家岗,整租·金茂珑悦,1室1厅,39平米,1900
20191026,渝中,袁家岗,整租·金茂珑悦,1室1厅,39平米,1900
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,39平米,1800
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,39平米,1850
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,47平米,2000
20191026,渝中,袁家岗,整租·金茂珑悦,1室1厅,47平米,2300
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,47平米,2000
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,47平米,2100
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,47平米,2100
20191026,渝中,袁家岗,整租·金茂珑悦,1室1厅,39平米,2300
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,39平米,2100
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,47平米,2100
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,38平米,2100
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,47平米,2000
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,39平米,2100
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,39平米,2100
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,39平米,2100
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,47平米,2100
20191026,渝中,袁家岗,整租·金茂珑悦,1室1厅,40平米,2100
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,47平米,2300
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,47平米,2000
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,39平米,2100
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,39平米,2100
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,39平米,2100
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,47平米,2000
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,39平米,2100
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,47平米,2000
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,39平米,2100
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,47平米,2100
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,39平米,2100
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,39平米,2100
20191026,渝中,袁家岗,整租·金茂珑悦,1室1厅,47平米,2300
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,39平米,2100
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,39平米,2100
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,47平米,2100
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,40平米,2100
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,39平米,2000
20191026,渝中,袁家岗,整租·金茂珑悦,1室1厅,39平米,2100
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,47平米,2100
20191026,渝中,袁家岗,整租·金茂珑悦,1室0厅,40平米,1900
