20191026,沙坪坝,磁器口,国富沙磁巷正规三房 看磁器口 视野好,110万,低楼层(共46层)                                                    | 2017年建 |                                 3室2厅 | 79.26平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-923aab79-39ab-42e9-b765-775812a44ad8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,清水两房，低楼层，居家舒适，户型方正。,110万,低楼层(共30层)                                                    | 2017年建 |                                 2室2厅 | 77.1平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_zCguyPft7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,国富沙磁巷住家装修小三房，朝向安静,140万,低楼层(共30层)                                                    | 2017年建 |                                 3室2厅 | 80平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-9a582657-ea4c-41d3-98ec-f777747d5352.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,国富沙磁巷正规小三房，住家装修，户型方正,125万,低楼层(共46层)                                                    | 2017年建 |                                 3室1厅 | 81.11平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_VitxxWZK1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,沙磁巷清水两房，户型方正，配套完善。,86万,高楼层(共46层)                                                    | 2017年建 |                                 2室1厅 | 57平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_FcTY5GxFo.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,国富沙磁巷住家装修小两房，户型方正，业主安心卖。,95万,中楼层(共46层)                                                    | 2017年建 |                                 2室2厅 | 56.71平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-597a930e-a76b-4e56-86e6-e33a730c512e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,举步沙滨路 嘉陵江畔 户型方正 精致装修 拎包入住,160万,低楼层(共46层)                                                    | 2017年建 |                                 3室2厅 | 96.6平米                                  | 南 东北,https://ke-image.ljcdn.com/500000-inspection/prod-ec3a2a54-9f8c-4336-af70-e01c22626621.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,大户型四房   霸道江景房 视野采号,210万,中楼层(共32层)                                                    | 2017年建 |                                 4室2厅 | 119平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_Amaxj4AuJ.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,磁器口沙磁巷居家小三房住家装修拎包入住,130万,中楼层(共32层)                                                    | 2017年建 |                                 3室2厅 | 78平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-b15f7684-844f-48ce-b2fd-67c6c1bd8b53.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,沙磁巷 一线江景 平层四房视野无遮挡，业主诚心出售,198万,中楼层(共32层)                                                    | 2017年建 |                                 4室2厅 | 119.96平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-ed8eb5b3-43a7-4945-b8c3-6438d7a579ae.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,低楼层，安静居家舒适，户型方正,145万,低楼层(共46层)                                                    | 2017年建 |                                 3室1厅 | 94.65平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_v2cQq9M8c_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,带3个露台+阳台  俯视嘉陵江和磁器口  清水平层四房,388万,高楼层(共32层)                                                    | 2017年建 |                                 4室2厅 | 136平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/prod-01bfae29-29fa-4bc5-aa69-92a453d7ab06.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,古镇经典三房，看房方便，带装修,150万,高楼层(共46层)                                                    | 2017年建 |                                 3室2厅 | 94平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-9d35a230-8979-4ef6-96e3-c13796c2b6a2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,沙坪坝磁器口正规三房 住家装修带家具家电,160万,高楼层(共46层)                                                    | 2017年建 |                                 3室2厅 | 94.9平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_2v4QGdqLU.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,国富沙磁巷+朝中庭看江+楼层适中+近磁器口,125万,中楼层(共46层)                                                    | 2017年建 |                                 3室2厅 | 84.91平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_XVSG9eVIQ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,沙坪坝瓷器口正朝江三房江景景观房业主诚心出售,168万,中楼层(共32层)                                                    | 2017年建 |                                 3室1厅 | 104.36平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-ee0e6b6b-be80-4756-ad1b-dc9b5b630620.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,瓷器口轻轨旁国富沙磁巷精装修拎包入住,142万,低楼层(共32层)                                                    | 2017年建 |                                 3室1厅 | 79平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_ItreSBoVE.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,户型方正 清水可随意装修 朝向安静 随时看房,120万,低楼层(共46层)                                                    | 2017年建 |                                 3室1厅 | 85平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-3ea44344-93ea-4f0b-9bba-c193c8caacdf.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,国富沙磁巷 清水房三房 可装修自己喜欢的风格,115万,中楼层(共32层)                                                    | 2017年建 |                                 3室2厅 | 79平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_Keo00s9Mt.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,国富沙磁巷 3室2厅 东,135万,低楼层(共46层)                                                    | 2017年建 |                                 3室2厅 | 79.23平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-38485f74-9d1c-4efb-a9d0-8b37784ef960.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,磁器口 国富沙磁巷 三房两卫 看中庭 看江拎包入住,175万,低楼层(共46层)                                                    | 2017年建 |                                 3室2厅 | 94平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_jW86pF3UO.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,沙磁巷 磁器口古镇旁 住家精装修 拎包入住,145万,高楼层(共46层)                                                    | 2017年建 |                                 3室2厅 | 95.22平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-61ef6b11-b754-47f0-992b-0fccdbbfbf28.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,国富沙磁巷正规三房两卫 临江看景 别具风情,140万,高楼层(共32层)                                                    | 2017年建 |                                 3室2厅 | 94.29平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-e61324d0-24ec-4717-9177-6f7b6180f200.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,磁器口一线江景房 国富沙磁巷品质楼盘 交通便利,235万,中楼层(共32层)                                                    | 2017年建 |                                 4室2厅 | 118.37平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_vDzC1aOqp_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,一线江景，住家舒适，视野开阔。,140万,高楼层(共32层)                                                    | 2017年建 |                                 2室2厅 | 86平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-a3a6affb-5b15-4ca1-814d-03c6b2a6ce43.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,磁器口 国富沙磁巷 交通方便 配套齐全,155万,高楼层(共46层)                                                    | 2017年建 |                                 3室1厅 | 94.6平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_mrEfeoaak.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,江景房大楼盘，环境好，临江边，中间楼层居家安静,140万,中楼层(共30层)                                                    | 2017年建 |                                 3室2厅 | 81平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/prod-4d6a56bb-1983-432f-901a-ca9d8454d780.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,户型方正，视野开阔，采光好。。,142万,中楼层(共32层)                                                    | 2017年建 |                                 3室2厅 | 79平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_R1pgCK5nP.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,国富沙磁巷项目位于重庆市磁器口 二房业主安心卖,87万,高楼层(共46层)                                                    | 2017年建 |                                 2室1厅 | 57平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/prod-2245c9df-e4bb-4401-9857-78ec5361c99c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,嘉陵江畔  举步沙滨路 朝向安静 户型方正,120万,低楼层(共32层)                                                    | 2017年建 |                                 2室2厅 | 80.65平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_fzdGzKydi.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,国富沙磁巷 清水房三房 可装修自己喜欢的风格,118万,高楼层(共32层)                                                    | 2017年建 |                                 3室2厅 | 79平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_sMMZWjNx2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,江景大楼盘，此房为正规三房，户型方正，视野开阔,148万,高楼层(共46层)                                                    | 2017年建 |                                 3室2厅 | 94.9平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_8SFNhBevI.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,国富沙磁巷，清水三房，户型方正，视野采光可以,138万,中楼层(共46层)                                                    | 2017年建 |                                 3室2厅 | 85平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_eidHBCVnK.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,嘉陵江畔 视野开阔 户型方正 可自主装修,120万,中楼层(共32层)                                                    | 2017年建 |                                 3室1厅 | 78.94平米                                  | 西北,https://ke-image.ljcdn.com/500000-inspection/prod-06652029-057f-413b-af31-ce4b86d68331.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,沙滨路磁器口清水正规三房，楼层适中，户型方正。,138万,高楼层(共46层)                                                    | 2017年建 |                                 3室2厅 | 94.9平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-0f898bcf-5315-4597-8759-1a382fc87c4a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,此房是清水房 可以随意打造自己的风格 楼层视野都不错,140万,低楼层(共46层)                                                    | 2017年建 |                                 3室2厅 | 94.9平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-9d01ced3-8641-4c12-9137-97f6e26f016f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,沙磁巷正规三房  视野开阔 采光充足 业主诚售,190万,中楼层(共32层)                                                    | 2017年建 |                                 3室2厅 | 103.26平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-b6b33afd-415b-43d7-9c6e-bdb20de5b3d5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,此房是清水房 可以随意打造自己的风格 楼层视野好,118万,中楼层(共32层)                                                    | 2017年建 |                                 3室1厅 | 78平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/prod-f3727cf1-1fee-47a8-a3ed-5ac513d555f5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,装修三房，采光充足，业主诚心卖。,148万,低楼层(共32层)                                                    | 2017年建 |                                 3室1厅 | 80.65平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-8b5031c6-46a8-46cd-bde9-abdf185fcb9c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,国富沙磁巷项目位于重庆市磁器口二房业主安心卖,87万,高楼层(共46层)                                                    | 2017年建 |                                 2室1厅 | 57平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/prod-7a92554e-21c2-43d9-8d83-9a5abfb42855.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,沙磁巷小三室 户型方正 朝向安静，可看江,130万,高楼层(共32层)                                                    | 2017年建 |                                 3室2厅 | 78.94平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-441dcb22-1013-4758-bd39-633d6745d7c2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,清水两房带院管户型 交通方便 配套设施齐全,150万,低楼层(共32层)                                                    | 2017年建 |                                 2室2厅 | 80平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_SsMbbNr90.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,环境好，临江边，清水房，可自主装修，高楼层.,87万,中楼层(共46层)                                                    | 2017年建 |                                 2室1厅 | 56.7平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_hiKsfwmRW.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,沙滨路正规一房 看房方便 配套成熟 出行方便,90万,低楼层(共46层)                                                    | 2017年建 |                                 1室2厅 | 56.44平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-4de5a28c-1fac-4ec7-a057-0ca334899e2a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,此房是清水房 可以随意打造自己的风格 楼层视野都不错,90万,中楼层(共46层)                                                    | 2017年建 |                                 2室2厅 | 57.03平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-04fa0e4e-a861-42c8-9b67-0bc80d105401.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,磁器口 国富沙磁巷 正规三房 交通方便 配套齐全,154万,中楼层(共46层)                                                    | 2017年建 |                                 3室1厅 | 94.6平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_MNnBTTVQj.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,磁器口次新小区 俯瞰嘉陵江 业主诚心出售,158万,高楼层(共46层)                                                    | 2017年建 |                                 3室2厅 | 94.5平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_7gWNFYc9e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,江景房大楼盘，户型方正，两室两厅带院馆，清水房,130万,高楼层(共30层)                                                    | 2017年建 |                                 2室2厅 | 80平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_emcJG8Jd1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,磁器口旁次新房一线江景 高楼层 视野开阔看江巴适,206万,高楼层(共32层)                                                    | 2017年建 |                                 3室2厅 | 118.37平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-f1abc4b0-a057-4cff-9fa5-d15cbb4fd056.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,此房是清水房 可以随意打造自己的风格 楼层视野都不错,140万,高楼层(共32层)                                                    | 2017年建 |                                 3室2厅 | 94.31平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-fff08638-3ce4-4081-b191-21478c60000c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,国富沙磁巷 3室2厅 东南,127万,高楼层(共46层)                                                    | 2017年建 |                                 3室2厅 | 84平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-d3ebb050-e9a7-463f-a858-4e6fb8f8b25e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,沙滨路清水房，楼层适中，视野开阔，一线江景房新上,120万,高楼层(共46层)                                                    | 2017年建 |                                 2室1厅 | 83.5平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/prod-74e12e87-950b-436e-af78-6380a48ca2dc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,沙磁巷两室带院管 户型方正  看江  视野开阔,125万,中楼层(共32层)                                                    | 2017年建 |                                 2室2厅 | 78.94平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/prod-d2c30183-e038-4e92-a7b3-515c71bae71f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,磁器口精装三房.业主诚意出售.,140万,低楼层(共46层)                                                    | 2017年建 |                                 3室1厅 | 83平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-e27e3b95-3479-4060-a475-984013102088.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,沙磁巷正规大三房 朝向好 采光充足 业主诚售,155万,低楼层(共46层)                                                    | 2017年建 |                                 3室2厅 | 95平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-1690dab0-94c2-4d8b-985f-b8ff130461f5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,沙滨路看江三房，清水房任意装修，户型格局好,150万,中楼层(共32层)                                                    | 2017年建 |                                 3室2厅 | 80.61平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-71efe81b-e154-46c2-8a30-1f74a25e86d3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,国富沙磁巷三房清水，视野开阔，朝向安静,150万,高楼层(共46层)                                                    | 2017年建 |                                 3室2厅 | 94.68平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-ce62f269-721e-436c-a8d5-de1047bc4b9a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,国富沙磁巷朝中庭清水正规两房，业主诚心出售。,140万,低楼层(共46层)                                                    | 2017年建 |                                 2室2厅 | 84.93平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_XwAyhfQLH.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,国富沙磁巷，出行方便，离磁器口近,210万,中楼层(共30层)                                                    | 2017年建 |                                 3室1厅 | 104平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-9bda272a-b24e-4aad-82ff-a7b03f36fc2c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,磁器口看江2+1户型.视野开阔.户型端正.出行便利,132万,高楼层(共46层)                                                    | 2017年建 |                                 2室2厅 | 83.12平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_d1NT51rmw.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,此房业主诚心出售，产权清晰，方便交易,126万,高楼层(共46层)                                                    | 2017年建 |                                 3室2厅 | 83.59平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/prod-101885fb-15fb-46a1-b6f8-681af372740c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,沙坪坝,磁器口,低楼层 住家安静 朝中庭 清水房可随自己喜好装修,115万,低楼层(共32层)                                                    | 2017年建 |                                 3室1厅 | 78.58平米                                  | 西北,https://ke-image.ljcdn.com/500000-inspection/prod-692e8d19-d5f9-4b2a-8b68-e74493184265.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
