20191026,渝北,北环,可住家可办公 轻轨+公园+龙湖品质 70年产权,61万,中楼层(共29层)                                                    | 2005年建 |                                 1室1厅 | 48.52平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-3e5a56e1-a15d-4666-8800-48677a509bbc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝 龙湖MOCO 装修上跃 安静 诚心出售,140万,高楼层(共30层)                                                    | 2008年建 |                                 2室2厅 | 70.32平米                                  | 东 西,https://ke-image.ljcdn.com/500000-inspection/prod-14065014-9217-45d5-abc8-c343843366f8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,此房只有这一套   何时再有不知道,218万,低楼层(共16层)                                                    | 2007年建 |                                 3室2厅 | 131平米                                  | 西北,https://ke-image.ljcdn.com/500000-inspection/test-0c37833c-38f6-4abe-89cc-4b743069e3fa.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,户型方正 小三房 采光好 视野广,165万,低楼层(共26层)                                                    | 2007年建 |                                 3室2厅 | 96.4平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/pc1_tu4gZu2Lh_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,房屋视野开阔，交通便利，居家安静，带入户花园,228万,中楼层(共18层)                                                    | 2005年建 |                                 3室2厅 | 116.36平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/343dded2-45fd-48da-b2f0-179934e0f3f8_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,水晶郦城静苑精装四房 高楼层 东南向 看动步公园,290万,高楼层(共31层)                                                    | 2005年建 |                                 4室2厅 | 144.6平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-1bc136ee-4eda-4328-a89e-4c6be8f91433.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,龙湖品质房 业主诚心卖 小区绿化好,170万,中楼层(共31层)                                                    | 2006年建 |                                 2室1厅 | 87.74平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/pc1_XQzTBupNV_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝龙湖物业 住家安静 朝中庭 精装修,165万,中楼层(共18层)                                                    | 2007年建 |                                 2室1厅 | 90平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/pc1_gMFnXYZq5_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,星光配套 两梯四户小高层 朝南中庭 住家安静 实木地板,280万,高楼层(共18层)                                                    | 2005年建 |                                 4室2厅 | 144平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-4429bc34-ec0c-4f31-9f4f-169ac3612857.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,星光+全看枫林秀水中庭+酒店化管理+精装修,176万,高楼层(共33层)                                                    | 2007年建 |                                 3室2厅 | 122.09平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_YWHxHBRuj_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝劲力五星城小三房 两梯四户 端头户型,185万,高楼层(共31层)                                                    | 2007年建 |                                 3室1厅 | 96平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-05bc6511-1518-4541-b963-9ba1f75b5366.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝金科品质三轻轨环线56号线两房配套齐全商圈内,84万,低楼层(共25层)                                                    | 2008年建 |                                 2室1厅 | 62.32平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_5vcYEZvlM_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,龙湖品质三房，带60平左右花园，电梯通车库,230万,低楼层(共31层)                                                    | 2005年建 |                                 3室2厅 | 116平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_IyYfxX72n_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,永辉楼上 劲力五星城自由地 端头户型 去年刚装修的,145万,低楼层(共31层)                                                    | 2011年建 |                                 2室1厅 | 72平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/pc1_eHEq6Oebm_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,北环冉家坝 星光配套三房 正南向视野开阔 三轻轨出行,172万,中楼层(共33层)                                                    | 2007年建 |                                 3室2厅 | 122.09平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_S2g0CsEo7_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,龙湖水晶郦城三房 小区环境好  自住装修,210万,低楼层(共31层)                                                    | 2005年建 |                                 3室2厅 | 120.14平米                                  | 西北,https://ke-image.ljcdn.com/500000-inspection/prod-c95f6943-5a8f-4064-bf84-84f4a6daaa5d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,重庆市渝北区冉家坝轻轨站500米处装修1房,75万,低楼层(共31层)                                                    | 2008年建 |                                 1室0厅 | 52.96平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-4a7f4f0c-bcc5-44f0-ba5f-586a495704b7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,龙湖品质 业主住家装修 可直接入住,280万,中楼层(共31层)                                                    | 2005年建 |                                 5室2厅 | 160.38平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-fe9ddb7b-1f4f-4b92-836b-a5e3c157493d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝劲力五星城精装三房带入户院馆,208万,中楼层(共31层)                                                    | 2007年建 |                                 3室2厅 | 115.77平米                                  | 西北,https://ke-image.ljcdn.com/500000-inspection/prod-ef0d9430-dfd1-48ea-8798-55d38db6a0ce.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,尚源印象 住家精装3房 可以拎包入住 朝东看中庭,216万,高楼层(共18层)                                                    | 2006年建 |                                 3室2厅 | 113.66平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-52389577-8854-44ee-bc36-ef8cb912238f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,自住，办公皆可的租售装修三房，配套成熟,110万,高楼层(共25层)                                                    | 2008年建 |                                 3室1厅 | 60.48平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_dFzcKclgP_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,光电园近  劲力五星城二期 装修两房 带星光,132万,低楼层(共31层)                                                    | 2011年建 |                                 2室1厅 | 68平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_PR0NlHYWN_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,视野开阔 采光充足 安静 朝中庭,235万,中楼层(共27层)                                                    | 2011年建 |                                 4室2厅 | 129平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_drciKtMZL_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,龙湖Moco 正规三房上跃 户型方正 采光充足,150万,高楼层(共37层)                                                    | 2008年建 |                                 3室2厅 | 76.99平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-728f1bba-8a43-461b-b3a5-ec3cf1755e34.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝三线轻轨 居家跃层三房 成熟配套 金科物业,109万,高楼层(共25层)                                                    | 2008年建 |                                 2室1厅 | 60.48平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/pc1_95HCXtAnd_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,龙湖品质轻轨环线优质精装单配，水电气三通,65万,中楼层(共29层)                                                    | 2005年建 |                                 1室0厅 | 48.52平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_Rmrp6cWk9_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,尚源印象大三房+拎包入住+看中庭+龙湖物业,220万,中楼层(共16层)                                                    | 2006年建 |                                 3室2厅 | 131.11平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-c7fdf24d-24a3-4dda-87ae-8e70300ffe38.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,劲力五星城 3室2厅 西南,235万,高楼层(共31层)                                                    | 2007年建 |                                 3室2厅 | 137平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/prod-93c49af0-2cae-441c-b90b-1a2db68c6871.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,高楼层 视野开阔 采光好 安静 好出租,85万,高楼层(共31层)                                                    | 2011年建 |                                 1室0厅 | 46.35平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-e8daa11a-4d5f-4971-9455-b29b8b570885.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝三轻轨交汇处 精装小户型  临永辉 近天街,80万,低楼层(共25层)                                                    | 2008年建 |                                 1室0厅 | 60平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_mylmRl6B1_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,北环 三轻轨 劲力五星城 正规三房 全朝中庭,210万,中楼层(共26层)                                                    | 2007年建 |                                 3室2厅 | 110平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/pc1_2bENuv5Ku_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,龙湖水晶郦城旁 带露台+入户花园,169万,低楼层(共16层)                                                    | 2002年建 |                                 3室2厅 | 130.71平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-3a50e497-67e8-4074-8bf8-b74e2607b768.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝水晶郦城 住家精装三房 偏南朝向,205万,高楼层(共31层)                                                    | 2006年建 |                                 3室2厅 | 120平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/prod-f849008d-44a6-4056-946d-c37bf591f8ef.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝龙湖水晶郦城一组团精装三房  中楼层 东南向,235万,中楼层(共31层)                                                    | 2005年建 |                                 3室2厅 | 120平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-d9195d2b-d5fc-4334-af33-bd8d8b220c66.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝龙湖MOCO跃层  精装修 适合出租自住,130万,高楼层(共24层)                                                    | 2008年建 |                                 2室1厅 | 59平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/pc1_JlXp9Zw0U_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,星光单配 住家装修 楼下就是永辉超市 生活便利,92万,中楼层(共31层)                                                    | 2011年建 |                                 1室1厅 | 49.3平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_ZqhaleNR2_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝 星光旁 可上星光 随时看房,145万,中楼层(共33层)                                                    | 2007年建 |                                 2室1厅 | 96.23平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_GrwCX3vnx_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝劲力五星城城横厅改善四房,245万,中楼层(共31层)                                                    | 2007年建 |                                 4室2厅 | 137平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/prod-7c5e8517-a79b-4cfc-9e0b-fc1501933faa.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,龙湖水晶星座，装修单配，位置好,70万,低楼层(共29层)                                                    | 2005年建 |                                 1室0厅 | 49.99平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/prod-836c498c-b90c-4d6a-b9ee-7410649ae1a7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,龙湖物业 视野朝向好 带入户花园 装修拎包入住,320万,高楼层(共18层)                                                    | 2005年建 |                                 4室2厅 | 144.68平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_09RsGjm4e_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,300米到冉家坝轻轨站，楼下就是永辉超市旗舰店,103万,高楼层(共25层)                                                    | 2008年建 |                                 2室1厅 | 60.48平米                                  | 东南 东,https://ke-image.ljcdn.com/500000-inspection/pc1_Ycqa4AfbB_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝龙湖moco办公装修上跃 出行方便,125万,低楼层(共37层)                                                    | 2008年建 |                                 3室2厅 | 76.89平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-a8359015-caf5-423c-be73-6014a979f4c1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,冉家坝龙湖水晶郦城 住家四房南朝向 居家安静,270万,高楼层(共18层)                                                    | 2005年建 |                                 4室2厅 | 144平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-e0432dc0-be32-4038-943c-55a3e190f6c6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,北环,渝北区 两江新区装修三房 实际使用面积大,170万,低楼层(共27层)                                                    | 2011年建 |                                 3室1厅 | 88平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/prod-679260c8-b510-4470-9232-60845c28246e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
