20191026,大渡口,大渡口区府,此房满2年，业主诚心出售，楼层好采光好，交通方便,81万,高楼层(共26层)                                                    | 2009年建 |                                 2室1厅 | 74.01平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-0abd9133-2ec1-4856-8c4e-3ac0d79da50e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,正规两室两厅一卫业主，， 诚售,105万,高楼层(共34层)                                                    | 2008年建 |                                 2室2厅 | 80.5平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-f573fddc-9f4d-402d-b37a-e97b2842cb30.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,区府旁，两个公园，大渡口公园，美德公园，出行方便,170万,低楼层(共7层)                                                    | 2004年建 |                                 6室2厅 | 222.97平米                                  | 东南,https://ke-image.ljcdn.com/500000-frame/79efc819-e3b2-47fb-ab90-c833a33766e15.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,正规大四房两卫 双公园  出行方便,130万,高楼层(共8层)                                                    | 2003年建 |                                 4室2厅 | 158平米                                  | 东,https://ke-image.ljcdn.com/500000-frame/ca6b9eef-b43f-4b91-8c14-101c02b6a3978.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,区府旁 小户型 带装修 带指标 业主诚心出售,48万,低楼层(共34层)                                                    | 2011年建 |                                 1室1厅 | 38平米                                  | 东,https://ke-image.ljcdn.com/hdic-frame/f2fd6bed-d746-458c-a8e3-da6784520030.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,大渡口轻轨站 枫丹二期 大跃层 带双露台 有装修,200万,高楼层(共6层)                                                    | 2005年建 |                                 5室2厅 | 184平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/5309f7ec-79a4-47f6-ba47-51295192a2aa.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,临轻轨站旁 小区安静 绿化面积大,68万,中楼层(共11层)                                                    | 2005年建 |                                 2室1厅 | 56.13平米                                  | 东南,https://ke-image.ljcdn.com/500000-frame/2de3a544-6a50-4cde-9f47-3f95b563163f0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,大渡口顺祥壹街区精装一房、采光充足、拎包入住,73.5万,高楼层(共30层)                                                    | 2011年建 |                                 2室1厅 | 57平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/ee7dbad9-bfd1-42be-8353-2317632fe523.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,此房是全部朝小区中庭，很安静，小区出门就是轻轨站,88万,高楼层(共7层)                                                    | 2005年建 |                                 2室2厅 | 90平米                                  | 南,https://ke-image.ljcdn.com/500000-frame/3cfec678-dc5c-4600-a72b-d71b68e520447.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,月光小区 住家装修 两居室 中间楼层 带指标 欢迎看房,62万,中楼层(共8层)                                                    | 2000年建 |                                 2室1厅 | 70.56平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/0a0d5f87-7ced-4f74-b9af-457f204f4361.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,此房是朝小区中庭 住家必备显示高品质生活,138万,低楼层(共7层)                                                    | 2005年建 |                                 3室2厅 | 130平米                                  | 南,https://ke-image.ljcdn.com/500000-frame/bef2ea7b-f4d2-4e50-9782-01ba55dd6a91.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,大渡口轻轨站旁.交通方便.好几个公园，,126万,低楼层(共14层)                                                    | 2003年建 |                                 2室2厅 | 128平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/31a95b57-65f3-4be3-8b03-66f9ca88a980.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,大渡口 九宫庙 步行街 阳明商都 精装修,130万,低楼层(共22层)                                                    | 2011年建 |                                 3室2厅 | 134.6平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/c23327f4-d7b3-4452-9ed9-c04efabf7619.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,大渡口商圈 区府旁 顺祥壹街区 中装两房出售,82万,中楼层(共34层)                                                    | 2011年建 |                                 2室1厅 | 58平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/3d74925e-bd86-43ab-8dcb-943d1957d1e7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,大渡口 九宫庙 步行街 阳明商都 简单装修,216万,高楼层(共22层)                                                    | 2011年建 |                                 5室2厅 | 269.18平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/3fa9bd80-8292-4b2a-a4da-03ff9087757e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,此房为位置好，中高楼层，户型方正，视野开阔，,65万,中楼层(共29层)                                                    | 2004年建 |                                 1室1厅 | 60平米                                  | 南,https://ke-image.ljcdn.com/500000-frame/c2040ba2-8adb-4a49-ae87-fad4ea596af61.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,正规3室两厅 清水房带指标 业主诚心出售,150万,低楼层(共27层)                                                    | 2011年建 |                                 3室2厅 | 109平米                                  | 东南,https://ke-image.ljcdn.com/500000-frame/c6d5f972-c315-49ae-92b7-ba2adb4d33573.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,大渡口,大渡口区府,中装轻轨三房，住家安静，诚信出售。,100万,低楼层(共34层)                                                    | 2008年建 |                                 3室2厅 | 93.15平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,大渡口区府,简装三房 户型方正 带指标 采光充足,73万,高楼层(共8层)                                                    | 2000年建 |                                 3室2厅 | 99平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,大渡口区府,简装两房 户型方正 带指标 采光充足。,65万,高楼层(共8层)                                                    | 2000年建 |                                 2室1厅 | 79平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,大渡口区府,阳光花园(大渡口) 6室3厅 南 北,220万,高楼层(共7层)                                                    | 2004年建 |                                 6室3厅 | 212平米                                  | 南 北,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,大渡口区府,区府旁 小户型 带装修 带指标 业主诚心出售,50万,中楼层(共34层)                                                    | 2011年建 |                                 1室1厅 | 39平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,大渡口区府,区府旁，两个公园，大渡口公园，美德公园，出行方便,115万,中楼层(共8层)                                                    | 2003年建 |                                 3室2厅 | 131平米                                  | 东南 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,大渡口区府,锦天商务中心 1室1厅 东南,55万,中楼层(共12层)                                                    | 2002年建 |                                 1室1厅 | 53.25平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,大渡口区府,正规大三房一卫  双公园 出行方便,100万,中楼层(共8层)                                                    | 2003年建 |                                 3室2厅 | 108平米                                  | 东,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,大渡口区府,区府旁，两个公园，大渡口公园，美德公园，出行方便,120万,低楼层(共8层)                                                    | 2003年建 |                                 3室2厅 | 134平米                                  | 东,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,大渡口区府,月光小区 装修两室 拎包入住 ！,60万,高楼层(共8层)                                                    | 2000年建 |                                 2室1厅 | 60平米                                  | 北,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,大渡口区府,正规3室两厅 住家装修 带指标 业主诚心出售,155万,低楼层(共15层)                                                3室2厅 | 125平米                                  | 东南 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,大渡口区府,锦天佳园 5室2厅 东南,302万,高楼层(共11层)                                                    | 2003年建 |                                 5室2厅 | 257平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,大渡口区府,此房交通出行便利，户型方正，采光不错。,68万,低楼层(共8层)                                                    | 2000年建 |                                 2室2厅 | 69.24平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,大渡口区府,大渡口 九宫庙 步行街 阳明商都 精装修,125万,低楼层(共22层)                                                    | 2011年建 |                                 3室2厅 | 102平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,大渡口区府,业主自己装修的，中间楼层，户型方正，视野开阔,122万,低楼层(共25层)                                                    | 2004年建 |                                 3室2厅 | 108平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,大渡口区府,此房交通出行便利，户型方正，采光不错。,66万,中楼层(共8层)                                                    | 2000年建 |                                 2室1厅 | 70.79平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,大渡口区府,住家装修，小两房 出行方便 预约看房,70万,低楼层(共34层)                                                    | 2011年建 |                                 2室1厅 | 52平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,大渡口区府,正规大三房一卫 双公园 出行方便,105万,高楼层(共8层)                                                    | 2003年建 |                                 3室2厅 | 119平米                                  | 东,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,大渡口区府,此房为业主自己装修的，户型方正，视野开阔，,65万,低楼层(共29层)                                                    | 2004年建 |                                 2室1厅 | 58平米                                  | 北 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,大渡口区府,大渡口轻轨站，交通方便，边好几个公园，居家养生上等,122万,中楼层(共11层)                                                    | 2005年建 |                                 3室2厅 | 116平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,大渡口区府,商圈房 顺祥户型正 采光佳居住舒适,72万,中楼层(共30层)                                                    | 2011年建 |                                 1室1厅 | 49.55平米                                  | 东,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,大渡口区府,大渡口轻轨站旁，交通方便，旁边有多个公园。,80万,高楼层(共11层)                                                    | 2005年建 |                                 2室1厅 | 77.8平米                                  | 南 北,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,大渡口区府,此房满两年 装修好 采光充足 朝中庭 住家安静,150万,中楼层(共18层)                                                    | 2005年建 |                                 3室2厅 | 135.75平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,大渡口区府,中高楼层，户型方正，视野开阔，,62万,中楼层(共25层)                                                    | 2004年建 |                                 1室1厅 | 60平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,大渡口区府,此房满5年，业主诚心出售，楼层好，采光好，交通.方便,80万,高楼层(共26层)                                                    | 2009年建 |                                 2室2厅 | 61平米                                  | 东,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,大渡口区府,户型好     采光充足    小跃层    精装修,92万,高楼层(共30层)                                                    | 2011年建 |                                 2室1厅 | 58平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,大渡口区府,顺祥壹街区 2室2厅 东南新上,100万,高楼层(共34层)                                                    | 2008年建 |                                 2室2厅 | 87.75平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,大渡口区府,此房已满5年 业主诚心出售 采光极好 出行方便配套成熟新上,75万,高楼层(共26层)                                                    | 2009年建 |                                 2室1厅 | 61平米                                  | 东,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,大渡口,大渡口区府,大渡口区政府大楼旁锦天商务中 心 2居室出售,67万,中楼层(共12层)                                                    | 2002年建 |                                 2室1厅 | 65平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
