20191026,渝北,石子山,冉家坝 天邻风景 精装三房 视野开阔 采光很好 大阳台,135万,低楼层(共32层)                                                    | 2008年建 |                                 3室1厅 | 110平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-06d12ee0-2e39-44cb-bae6-6ddc672c80cc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著北区，业主自住50万装修，视野好采光强。,258万,高楼层(共33层)                                                    | 2011年建 |                                 3室2厅 | 119.58平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_WvDvCMjmA_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,江北区盘溪路龙湖源著北区三期精装修单配,89万,中楼层(共39层)                                                    | 2015年建 |                                 1室1厅 | 52.5平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-057d7fa2-0b5c-482d-aef2-3b4893896823.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著北区 外圈 住家装修洋房,295万,中楼层(共9层)                                                    | 2011年建 |                                 3室2厅 | 133.53平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/prod-10261b50-1239-4b14-bdb8-4f273cb777d3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著南区清水花园洋房+带露台+带书房+看中庭,360万,中楼层(共11层)                                                    | 2012年建 |                                 4室2厅 | 164平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_xaAvwbPgA_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,此房满两年，低楼层，看中庭，住家精装,176万,低楼层(共32层)                                                    | 2012年建 |                                 2室1厅 | 84平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-874d2580-1b17-4d38-8f0f-1c88b35f4b6d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著端头二楼洋房 共三层有花园地下室 带露台,360万,低楼层(共8层)                                                    | 2011年建 |                                 3室2厅 | 183平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-0d4f74f4-bee6-4fe2-a361-6890fea2d45b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,江北区龙湖源著北区 装修三房  低楼层 朝南,189万,低楼层(共33层)                                                    | 2011年建 |                                 3室2厅 | 119平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-ad91e5a5-0109-4bfe-8c7c-3f876491ea05.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,冉家坝 天邻风景 住家安静 拎包入住 看体育公园,145万,中楼层(共32层)                                                    | 2008年建 |                                 3室2厅 | 105平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/c4019259-0a74-4cfd-bf59-e4b5c596e87f.JPG!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,顶跃清水洋房，板式结构，带三个露台，采光充足,225万,高楼层(共6层)                                                    | 2016年建 |                                 3室2厅 | 89.65平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/pc1_PAz7As8DJ_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,住家三房  带露台 中庭位置 视野开阔 居家安静 采光好,169万,高楼层(共32层)                                                    | 2008年建 |                                 4室2厅 | 105.94平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_kr1Eiep3h_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著北区 洋房 顶跃 带两露台 三个房间,240万,高楼层(共9层)                                                    | 2011年建 |                                 3室2厅 | 93.99平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-b92102a8-c5c6-4498-bfff-e2b63fdf03c2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,江北盘溪路龙湖源著三期朝中庭一改二精装房 很安静,112万,高楼层(共39层)                                                    | 2015年建 |                                 2室2厅 | 58.43平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-bce6f381-73c3-4146-9cdc-9128d22c8e0e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著南区二楼端头洋房+花园+全新装修,550万,低楼层(共10层)                                                    | 2012年建 |                                 4室2厅 | 184.49平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/prod-aac82a8c-90e2-49cd-9ba2-54540c78f105.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,南区端头三房，看中庭，中间楼层视野开阔，无遮挡,185万,中楼层(共32层)                                                    | 2013年建 |                                 3室2厅 | 89.94平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/pc1_01RMyFhk8_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,两江春城 次新盘 户型方正 看中庭,135万,低楼层(共33层)                                                    | 2016年建 |                                 2室2厅 | 76.85平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-369248d5-ec8d-47c8-b73b-4941820df6b1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著南区清水洋房换线轻轨天街,328万,高楼层(共10层)                                                    | 2012年建 |                                 4室2厅 | 143.63平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_DzYJCl080_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,看中庭精装三房，家电齐全，拎包入住,157万,高楼层(共31层)                                                    | 2008年建 |                                 3室2厅 | 105平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_uhokjIse3_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,冉家坝 天邻风景 正规两房两卫 出让地 满两年 看中庭,120万,低楼层(共32层)                                                    | 2008年建 |                                 2室2厅 | 91.7平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_S6Ji2Eg6G_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,冉家坝 天邻风景  全中庭三房  诚心出售,145万,低楼层(共32层)                                                    | 2008年建 |                                 3室1厅 | 105平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_SqGm93E9h_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖品质，配套齐全，交通出行方便,100万,中楼层(共39层)                                                    | 2015年建 |                                 2室1厅 | 52平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/prod-01c7560a-3466-476d-be19-691545cbae15.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著北区 装修 安静 小户型 业主诚心出售,85万,中楼层(共39层)                                                    | 2015年建 |                                 1室1厅 | 52.43平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_JF84Hi90s_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,正规三房两卫，东南朝向，视野开阔,145万,高楼层(共32层)                                                    | 2008年建 |                                 3室2厅 | 117平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_CF6xwTmfw_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著天街之上  低楼层精装修 可拎包入住,126万,低楼层(共34层)                                                    | 2012年建 |                                 1室1厅 | 61.43平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_pWl6duiWF_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,全新装修 精装小两房 业主诚心出售 交易方便,110万,高楼层(共39层)                                                    | 2015年建 |                                 2室1厅 | 58平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/prod-e0a9757c-4097-4564-8dfd-319fa3b4660e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,两江春城春逸苑带七十平米左右的大露台，精装修新上,300万,中楼层(共6层)                                                    | 2015年建 |                                 3室1厅 | 116.65平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-7382da22-a3f8-4531-9ae4-7d8ad7b95aca.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著北区 1室1厅 东,77.88万,中楼层(共48层)                                                    | 2015年建 |                                 1室1厅 | 58.58平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-06463b48-f43d-4680-a105-28631f0ba39e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著三期 正规小三房 清水 位置安静,165万,中楼层(共39层)                                                    | 2015年建 |                                 3室1厅 | 96.51平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-10852105-96a6-4350-ab24-75a1ac1196f7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著南区端头洋房 板式结构 一梯两户出门轻轨环线,340万,中楼层(共10层)                                                    | 2012年建 |                                 4室2厅 | 151.16平米                                  | 东 西,https://ke-image.ljcdn.com/500000-inspection/prod-a236a6d5-4105-4b23-b7be-474efe62a098.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,轻轨+天街+朝南视野好+拎包入住,180万,高楼层(共34层)                                                    | 2012年建 |                                 2室2厅 | 87.65平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/test-6f33607e-3e3c-4d14-9f91-a0ce4358d619.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,自带一个超级大露台 正规三房 居家装修,280万,低楼层(共33层)                                                    | 2016年建 |                                 3室2厅 | 98.37平米                                  | 东南 南,https://ke-image.ljcdn.com/500000-inspection/pc1_tGirIXHPG_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,源著天街旁（正南北）内圈洋房，有车位，价格另算,350万,高楼层(共8层)                                                    | 2013年建 |                                 4室2厅 | 142.15平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/pc1_iHU1u6LXC_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著看中庭三房 现代装修 全品牌家具家电,168万,高楼层(共39层)                                                    | 2015年建 |                                 3室1厅 | 96.55平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-a1c850ef-f7c3-4942-9278-ad173646c8aa.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,房子精致装修 品牌家私电器 保养好视野无遮挡,142万,高楼层(共27层)                                                    | 2008年建 |                                 3室2厅 | 104平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_aPy7oVnBl_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,江北区 品质楼盘 源著小户型 一室带书房 装修很新,95万,高楼层(共39层)                                                    | 2015年建 |                                 2室1厅 | 52.43平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_RRIQVUVrW_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,小区环境安静。位于三轻轨交汇处交通便利。,148万,高楼层(共28层)                                                    | 2008年建 |                                 4室2厅 | 156.13平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_X9yljZIB7_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,江北区龙湖源著北区 横厅三房 装修拎包入住,290万,高楼层(共33层)                                                    | 2011年建 |                                 3室1厅 | 139.78平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-7659537c-4311-4f54-99af-7dc77d4c574b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,天邻风景 精装两房改小三房，住家安静，保养好,130万,中楼层(共32层)                                                    | 2008年建 |                                 3室2厅 | 85.88平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_dro5dz0Is_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,两江春城春茗苑 装修两房两卫 拎包入住,178万,低楼层(共33层)                                                    | 2016年建 |                                 2室2厅 | 98.4平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_V4AeHRZ41_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著精装三房；视野开阔，朝东看小区洋房安静.,150万,高楼层(共39层)                                                    | 2015年建 |                                 3室2厅 | 84.93平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-4c638509-340a-4589-892b-779bf4dc8b20.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,渝北冉家坝 三轻轨交汇 顶楼带花园 精装朝南三房,128万,高楼层(共31层)                                                    | 2008年建 |                                 3室2厅 | 122.8平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_LpwJbw52u_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,公园六栋大横厅户型三房双卫精装修,288万,高楼层(共33层)                                                    | 2011年建 |                                 3室2厅 | 139平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/pc1_jvDP3Onfe_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著南区 临轻轨 近天街 住家精装修,205万,高楼层(共32层)                                                    | 2012年建 |                                 3室1厅 | 91.12平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/prod-e0448ab2-e77f-4363-9e9b-fd8cfa38544f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,江北 湖源著南区 精装修  采光好,192万,中楼层(共32层)                                                    | 2012年建 |                                 2室2厅 | 90.54平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-e50b2260-6801-4a4f-9770-b066a9daa9e2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,北环近轻轨 9.9成新精装修2房 带地暖 17年新小区,149万,低楼层(共32层)                                                    | 2017年建 |                                 2室2厅 | 77.03平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_es5dnEyDh_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,江北盘溪路龙湖源著北区5楼洋房 四房双卫 客厅带阳台,295万,中楼层(共8层)                                                    | 2011年建 |                                 4室2厅 | 151.39平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/prod-2003142c-e074-443a-b2d3-5a5db8bb1592.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,江北区 龙湖源著朝中庭两房 临轻轨 配套成熟 楼龄新,110万,低楼层(共39层)                                                    | 2015年建 |                                 2室1厅 | 58.51平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_E8VueLYOG.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,江北区 龙湖源著 端头户型带露台 住家舒适 出行便利,160万,高楼层(共39层)                                                    | 2015年建 |                                 2室1厅 | 94.9平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/prod-12163813-88ff-43eb-aeea-63a030983f44.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,两江春城春麓苑 板式结构洋房 源著天街+轻轨,300万,低楼层(共6层)                                                    | 2014年建 |                                 4室2厅 | 178.04平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/prod-a485e1d8-ffd9-4706-a3fb-39e31ee24e01.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著南区端头三房两面采光+视野开阔+拎包入住,190万,低楼层(共34层)                                                    | 2012年建 |                                 3室2厅 | 91平米                                  | 南 西,https://ke-image.ljcdn.com/500000-inspection/prod-163e5395-6a62-4dcf-bde3-0749a863a70c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,新上！端头三房、看中庭安静、采光通风佳、有固定车位新上,200万,中楼层(共32层)                                                    | 2012年建 |                                 3室2厅 | 90平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/pc1_6L24ClU8t_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著北区高层 精装两房 拎包入住,162万,低楼层(共33层)                                                    | 2011年建 |                                 2室1厅 | 87.38平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/prod-bb4b0b4d-fc29-457d-905e-2da07e59f1fe.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,精装三房，出让地，中庭位置住家安静。,148万,低楼层(共32层)                                                    | 2008年建 |                                 3室2厅 | 105平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/test-73f7dfa1-2b87-47c9-a23e-17a8ad42a8d3.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,冉家坝 源著天街旁 天邻风景 住家装修 拎包入住,198万,中楼层(共32层)                                                    | 2008年建 |                                 4室1厅 | 159.86平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/pc1_JhMarNF1V_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,源著内圈一楼精装修带大花园洋房,600万,低楼层(共8层)                                                    | 2011年建 |                                 4室2厅 | 177.67平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/prod-efcddf49-0093-4220-81e9-01592b411ecb.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,两江春城春玺苑清水花园洋房 可随时装修,258万,中楼层(共7层)                                                    | 2016年建 |                                 3室2厅 | 117平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/prod-ef9b8fd5-f7fe-4df3-9797-81d8be282cdf.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,江北区龙湖源著北区 装修四房 看体育公园 视野好,330万,中楼层(共33层)                                                    | 2011年建 |                                 4室1厅 | 172平米                                  | 西北,https://ke-image.ljcdn.com/500000-inspection/prod-d6648528-336a-4a3a-98ac-673f575cd635.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,冉家坝 龙湖天街旁 正规三房两卫 位置安静,162万,中楼层(共32层)                                                    | 2008年建 |                                 3室1厅 | 124.84平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-3b7b75e5-c25c-4f89-8348-df2329927153.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著北区三居室，住家精装修，住家安静,300万,低楼层(共33层)                                                    | 2011年建 |                                 3室2厅 | 140.88平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-148943e7-cdd7-4d80-b2c9-6e8f8535669a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,天邻风景 正规精装三房 看中庭带露台 出让地 住家安静,178万,低楼层(共32层)                                                    | 2008年建 |                                 3室2厅 | 125平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/test-de6d9a46-dbde-4e63-b2fa-abc6ac1f0843.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著北区内圈洋房顶跃  办公装修 位置安静,275万,高楼层(共8层)                                                    | 2011年建 |                                 3室2厅 | 123.39平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/prod-104c9846-4710-4ecc-95b6-fadd63a7a23d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,中间楼层视野开阔，户型方正，采光良好,173万,高楼层(共32层)                                                    | 2013年建 |                                 2室1厅 | 86平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_frGtFKn6I_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著北区三期精装一改二，户型方正，楼层适中,88万,中楼层(共39层)                                                    | 2015年建 |                                 1室1厅 | 52平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-cd1cc951-bf82-4e1e-ab88-d090caf68f7e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著北区公园清水四房带大阳台视野开阔楼层适中,310万,低楼层(共33层)                                                    | 2011年建 |                                 4室2厅 | 172.35平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/prod-fa74b83a-2360-4fa0-9dd9-a00c1a8115f5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,冉家坝 天邻风景 正规三房 挨天街体育公园 轻轨环线,165万,中楼层(共32层)                                                    | 2008年建 |                                 3室1厅 | 123.99平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_I2VZxTijc_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著北区，清水三房，横厅户型，有车位，看公园,265万,中楼层(共33层)                                                    | 2011年建 |                                 3室1厅 | 139.78平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_v8ngU2dqT_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,端头小三房，西南朝向，精装房，实木家具,190万,中楼层(共32层)                                                    | 2012年建 |                                 3室1厅 | 90.32平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/prod-52e08e93-c3cd-4a6b-b2c5-e81005fc27a5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,冉家坝+三轻轨+居家装修2房+拎包入住+方正户型+安静,113万,高楼层(共31层)                                                    | 2008年建 |                                 2室2厅 | 91.8平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-6c41f41c-cca0-4c6a-b136-69e65dc7f69d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,高楼层，龙湖源著北区四居室，朝南向看中庭,260万,高楼层(共33层)                                                    | 2011年建 |                                 4室2厅 | 144平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-b81744c6-c746-4442-b14e-b0b91c6caa44.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,此房满二，高层采光好，视野开阔,97万,高楼层(共26层)                                                    | 2008年建 |                                 2室1厅 | 64平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_0SRxGJwvI_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,轻轨5号线旁 龙湖天街精装单配（公寓性质） 拎包入住,65万,高楼层(共48层)                                                    | 2015年建 |                                 1室1厅 | 48平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-4df2a102-4017-413c-b37b-4d550d3ec5c8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,源著南区（看中庭）拎包入住（装修好）环线旁,130万,中楼层(共32层)                                                    | 2012年建 |                                 2室2厅 | 57.15平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/pc1_HSOqLak6A_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,三轻轨旁单价较低优质两房，中间楼层，视野开阔,102万,中楼层(共31层)                                                    | 2008年建 |                                 2室1厅 | 91.71平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_4PQklxEqy_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著北区双面采光稀有清水洋房,300万,高楼层(共8层)                                                    | 2011年建 |                                 4室2厅 | 139.08平米                                  | 东 西,https://ke-image.ljcdn.com/500000-inspection/pc1_zbM4TloSi_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖天街旁 清水大三房 朝南户型 视野开阔,158万,高楼层(共32层)                                                    | 2008年建 |                                 3室1厅 | 132.98平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_sMvVU4KEN_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,石子山,龙湖源著精装房   高层视野  住家舒适,126万,高楼层(共39层)                                                    | 2015年建 |                                 2室2厅 | 53平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-19f55d3d-3029-429d-84a8-70bc16cd08ae.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
