20191026,江津,滨江中路,时代港湾三房两卫，户型方正，该房可以看江，看游泳池新上,105万,中楼层(共33层)                                                    | 2015年建 |                                 3室2厅 | 118.56平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/prod-3e6051f1-ce90-4bdb-830b-d9123e84b65c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,祥和佳苑 1室1厅 东,34.5万,中楼层(共33层)                                                    | 2012年建 |                                 1室1厅 | 46.5平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_MVnL1VoGi_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,时代港湾欧式装修三房，品质小区，配套齐全,92万,低楼层(共33层)                                                    | 2015年建 |                                 3室2厅 | 89.75平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/test-ca44b007-6b59-49e9-b13d-4392473edbcf.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,水映康城精装修三室，拎包入住，业主安心卖,69.8万,低楼层(共33层)                                                    | 2009年建 |                                 3室2厅 | 90平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-eec3193f-3c0b-4365-bee2-db0b521c6140.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,水映康城临江三房带装修带家具电器,90万,高楼层(共33层)                                                    | 2009年建 |                                 3室2厅 | 117平米                                  | 东 北,https://ke-image.ljcdn.com/500000-inspection/prod-5c4d14ca-1972-4ba3-b3c3-36cd2123415b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,时代港湾带装修三房，可看江，随时看房。,115万,中楼层(共33层)                                                    | 2015年建 |                                 3室2厅 | 118平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-927e342f-84db-49da-94b1-83975fbbd5b9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,时代港湾一室可以做两室，清水房业主急售,43万,高楼层(共33层)                                                    | 2015年建 |                                 1室1厅 | 58平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-cb6832b5-f2b5-411e-afdf-90f77a6b64ee.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,该房位于琅山地带，出行生活相当方便，价格便宜。,52万,高楼层(共7层)                                                    | 2007年建 |                                 3室1厅 | 97.84平米                                  | 西北,https://ke-image.ljcdn.com/500000-inspection/prod-f81a8c73-0e14-4152-acaf-64da29399a79.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,锦绣佳苑装修房，三室一厨一卫，满两年,47.8万,中楼层(共7层)                                                    | 2008年建 |                                 3室2厅 | 93.5平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-33548f65-2dd0-456a-a282-38e2ce243208.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,江津时代港湾精装三房出售，采光好，带平台,80万,低楼层(共33层)                                                    | 2015年建 |                                 3室2厅 | 89.75平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-ca248b4c-466b-436d-bff6-c742690c1644.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,东和花园装修两房双卫+装修保持9成新+拎包入住,68万,中楼层(共26层)                                                    | 2009年建 |                                 2室2厅 | 85.28平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-cce13a20-eb0d-4ef1-be95-f243ee8fe867.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,时代港湾清水电梯三房，随意装修。,69.8万,高楼层(共33层)                                                    | 2015年建 |                                 3室2厅 | 92.55平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-26efc811-1319-46dc-bb07-16bd535dee70.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,城投花园步行小户型简装22wan,26万,高楼层(共7层)                                                    | 2007年建 |                                 2室1厅 | 40平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-ea0d27d9-e562-44aa-9474-b4485c3a5f60.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,精装大三房，户型方正采光好，看江，视野好,110万,高楼层(共33层)                                                    | 2015年建 |                                 3室2厅 | 115.2平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-7af635f7-05f1-40a1-8e64-02282c134366.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,祥和佳苑  清水两房看江 满两年,68万,中楼层(共33层)                                                    | 2012年建 |                                 2室2厅 | 94.01平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-f5148297-f0ce-4ec9-a75e-c215d72b9941.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,时代港湾装修大两房，视野好，小区品质高，商圈近,70万,低楼层(共33层)                                                    | 2019年建 |                                 2室2厅 | 74.5平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-d4b1ae5b-9100-4886-a88c-9c6df9fab0a9.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,祥和佳苑精装修三房证在手满两年,75.6万,低楼层(共33层)                                                    | 2012年建 |                                 3室2厅 | 112平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-a91cb182-e3e5-4aeb-911a-3dd35e7a24f0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,时代港湾，清水一居室，户型方正,45万,中楼层(共33层)                                                    | 2015年建 |                                 1室1厅 | 57.94平米                                  | 东南 东北,https://ke-image.ljcdn.com/500000-inspection/pc1_KZ6PQZ8xC_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,东和花园 全新装修3室 正看江 视野宽阔,118万,高楼层(共26层)                                                    | 2009年建 |                                 3室2厅 | 134.67平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/prod-2b94eff8-d67b-4a36-b591-bcb2a84f8bba.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,祥和佳苑芳草苑住家装修+看江三房+拎包入住,72万,低楼层(共33层)                                                    | 2012年建 |                                 3室2厅 | 112平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-f21602da-05ac-49bf-9e54-f7635817f084.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,祥和佳苑172平米清水看江四房,110万,中楼层(共32层)                                                    | 2007年建 |                                 4室2厅 | 172平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-d7b26cec-28f3-4ba5-a3f1-c2322ae03950.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,户型方正  拎包入住   家电齐全,110万,高楼层(共26层)                                                    | 2007年建 |                                 4室2厅 | 167.37平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_GeZC9qXvH_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,祥和佳苑，正四房，带装修，带家电家具出售,78万,高楼层(共18层)                                                    | 2007年建 |                                 4室2厅 | 130.74平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-2b8df24d-6f62-4413-80d9-b7e4a784a8b9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,玉水湾电梯小两房带装修，采光好，出行方便安心出售,47.8万,中楼层(共12层)                                                    | 2009年建 |                                 2室1厅 | 62.29平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-f4a2eb08-8ede-4edf-b4c3-490606ab1875.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,祥和佳苑 带装修四室 客厅可看江,98万,低楼层(共32层)                                                    | 2007年建 |                                 4室2厅 | 166平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-cdcc5882-f206-4e7e-98da-6d7b29fc3ce7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,祥和佳苑正两室看江户型方正 采光好,56万,高楼层(共33层)                                                    | 2012年建 |                                 2室1厅 | 75平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-dd7afa36-7f3c-41ec-81cb-93dfba396b90.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,城投花园 装修三房双卫！保持很好！,88万,中楼层(共7层)                                                    | 2007年建 |                                 3室2厅 | 124.44平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-3f76daec-1ec5-44ba-9471-1402537d86b6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,玉水湾一楼三房双卫带装修带家具电器出售,108万,低楼层(共12层)                                                    | 2009年建 |                                 3室2厅 | 135.97平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-5d3953d7-7e65-4cf6-beb9-cdfdaeab71c0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,时代港湾装修三房，带装修，户型方正，卧室还看江,92万,高楼层(共33层)                                                    | 2015年建 |                                 3室1厅 | 92.55平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-5451a33a-c727-44ea-823d-f065504093e8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,琅山片区三室两厅一厨一卫带装修出售,52万,低楼层(共7层)                                                    | 2007年建 |                                 3室2厅 | 97.42平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-8185578e-5ea0-45ab-ad2f-694bd27b40e6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,祥和佳苑 四房 带装修带阳台 看江 满两年,128万,高楼层(共33层)                                                    | 2012年建 |                                 4室2厅 | 142平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-c92e9f03-df5e-4c03-a97b-4efd2136bb3f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,祥和佳苑电梯三房 户型方正 采光好 正看江,72万,高楼层(共32层)                                                    | 2007年建 |                                 3室2厅 | 106.66平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-fadd73ff-a828-49d8-af31-b0423fed6b5c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,城投花园步行房顶楼，住家装修，采光好,50万,高楼层(共7层)                                                    | 2007年建 |                                 3室2厅 | 97.8平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-99bf816d-c06d-4771-baf3-c9e5358bc040.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,水映康城 带装修一室 提前联系可以看房,23万,高楼层(共33层)                                                    | 2009年建 |                                 1室1厅 | 28.35平米                                  | 西,https://ke-image.ljcdn.com/500000-inspection/prod-3678e4fc-e245-48c6-bc8b-32ffb77d085b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,时代港湾精装修一室改小两室，拎包入住 诚心出售,55万,中楼层(共33层)                                                    | 2015年建 |                                 2室1厅 | 57.94平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-9471977b-623a-498f-9ff3-ab68d77339f3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,祥和佳苑 看江三房两卫 住家装修 满两年,89.9万,中楼层(共33层)                                                    | 2012年建 |                                 3室2厅 | 113平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-f17c4b26-8e11-465f-83dc-9e25afb82fc6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,该房全新装修，拎包入住，业主安心卖，价格协商。,40.5万,中楼层(共18层)                                                    | 2007年建 |                                 2室1厅 | 49平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-c708152c-78e5-4f17-9683-e21dfb470757.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,江津琅山片区步行房精装修2室带家具家电,43.8万,中楼层(共7层)                                                    | 2007年建 |                                 2室2厅 | 76.5平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-7e79ac7b-5820-4e5e-aa41-beaf8638c453.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,玉水湾+小高层+看江+带装修大三房,95万,低楼层(共12层)                                                    | 2009年建 |                                 3室2厅 | 128平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-7915674a-39e9-4f9f-9d37-3a77399c22e8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,时代港湾电梯小三房，住家装修，带家具电。新上,85万,低楼层(共33层)                                                    | 2015年建 |                                 3室2厅 | 89.75平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_bChvGkkyX_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,祥和佳苑 一室一厅 装修保持新 可以看点,45万,高楼层(共33层)                                                    | 2012年建 |                                 1室1厅 | 44.59平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-2721bd50-49f7-4e37-b5d5-4b21d6563dbd.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,该房满2年，证在手，带装修两房 位置好,48万,低楼层(共32层)                                                    | 2007年建 |                                 2室2厅 | 68.11平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_Wjnz6Z8TG_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,此房楼层好，视野开阔，采光充足。满两年证在手,30万,高楼层(共33层)                                                    | 2009年建 |                                 1室1厅 | 39.8平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/prod-d8fa8d5c-567f-4e4f-9c2b-cf85e0291123.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,东和花园 精装修三房，带家具家电。,82.6万,中楼层(共26层)                                                    | 2014年建 |                                 3室2厅 | 92平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_INGKUFU9U_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,时代港湾电梯小两房，采光好，清水出售,60万,中楼层(共33层)                                                    | 2019年建 |                                 2室1厅 | 68平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-ec5c4859-c918-43ea-babe-9afb930cc964.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,东和花园装修两房中间楼层客厅阳台和卧室都可以看江,80万,中楼层(共26层)                                                    | 2009年建 |                                 2室1厅 | 80.03平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-05da0244-2943-4dde-a077-9768b71bff4c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,祥和佳苑电梯两房，精装修，带家电家具，满2年。,58万,高楼层(共33层)                                                    | 2012年建 |                                 2室2厅 | 74.8平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_h6eSKpRHU_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,时代港湾电梯小三房，住家装修，带家具电。,83万,中楼层(共33层)                                                    | 2015年建 |                                 3室1厅 | 91.77平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-2e99b749-2929-4cc6-aaf6-d4f4317d242b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,时代港湾 2室2厅 东,66.8万,低楼层(共33层)                                                    | 2019年建 |                                 2室2厅 | 68平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-d7ee730e-2512-4126-b9cf-177df1a39252.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,东和花园 带装修三室 满2年 证在手,140万,高楼层(共26层)                                                    | 2014年建 |                                 3室2厅 | 134.37平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-85afd5a5-d803-4bdd-a9f5-b61fc22ddd83.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,祥和佳苑 正看江四房 带入户花园 有钥匙看房方便,90万,高楼层(共33层)                                                    | 2012年建 |                                 4室1厅 | 141.68平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-e0eba68c-6987-4a36-9171-1bafd261a83d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,玉水湾 2室1厅 南,80万,高楼层(共33层)                                                    | 2009年建 |                                 2室1厅 | 96.3平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_XrgJOh83H_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,该房满2年，证在手，正看江 带家具家电,78万,中楼层(共32层)                                                    | 2007年建 |                                 3室2厅 | 106平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/prod-b3566bd4-4f12-48bf-803e-543aea6bb9a2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,时代港湾装修三房，经典户型，住家装修保持新,85万,中楼层(共33层)                                                    | 2015年建 |                                 3室2厅 | 89.75平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-08c60091-8e51-4b95-9bbf-c8f277827356.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,时代港湾清水三居室，中楼层，可自由设计装修。,75万,中楼层(共33层)                                                    | 2015年建 |                                 3室2厅 | 91.77平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/test-d9f39a8e-ce2f-419b-91ee-cfdc7a2d3a7a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,清水房三室两厅正看江，带入户花园,95.8万,低楼层(共33层)                                                    | 2009年建 |                                 3室2厅 | 127.3平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-288081bf-4d16-42d8-8a95-527a6a6fe824.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,祥和佳苑三室双卫 住家精装 家电家具齐全,78万,高楼层(共18层)                                                    | 2007年建 |                                 3室1厅 | 99.65平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-ef21666e-86a0-41d2-93c7-af966fd2987b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,时代港湾电梯两房，住家装修，业主安心出售,65万,低楼层(共33层)                                                    | 2015年建 |                                 2室2厅 | 75.58平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-f5df981e-37a5-4bd4-9561-c29e021c5553.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,祥和佳苑 四房跃三层  客厅可看江 满两年,105万,高楼层(共33层)                                                    | 2012年建 |                                 4室2厅 | 94.5平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-5da9a1d9-71a8-4ee3-a2a2-fb2a0b9471e7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,东和花园，清水大三房，看江采光户型好。,94.8万,中楼层(共26层)                                                    | 2009年建 |                                 3室2厅 | 134.8平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-bf6ac14c-57a2-4f27-9dfe-c2136f5205cd.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,祥和佳苑住家装修两房  户型方正  采光好,45万,低楼层(共18层)                                                    | 2007年建 |                                 2室1厅 | 79平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_1J39LZaSj_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,该房是住家装修，装修保持好，满五唯一,47.8万,中楼层(共32层)                                                    | 2007年建 |                                 2室2厅 | 68平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-af89d101-e636-458c-a628-9cfb1d139453.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,祥和佳苑清水四房+正看江+楼层不高,92万,中楼层(共33层)                                                    | 2012年建 |                                 4室1厅 | 141平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-76e74032-7459-4bcc-b437-0dc4e5821a62.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,祥和佳苑 四居室 看江清水房 户型方正,99万,中楼层(共26层)                                                    | 2007年建 |                                 4室2厅 | 168平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-e8c08683-c200-4b88-a24f-1d94e2ac0577.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,水映康城正一室一厅  带外阳台,37万,高楼层(共33层)                                                    | 2009年建 |                                 1室1厅 | 39.8平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-c4b0d0aa-eb3a-43b4-8696-6fc1bb804d39.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,该房精装修，拎包入住，家具家电齐全,85万,低楼层(共33层)                                                    | 2009年建 |                                 3室2厅 | 96.6平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-b0b1c7c9-8b10-46cc-8c8b-f6ac95a99363.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,水映康城精装两房，业主安心卖。,65万,中楼层(共33层)                                                    | 2009年建 |                                 2室2厅 | 70平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_tENNed39x_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,该房是正一室一厅，户型方正，装修保持很好。,22万,低楼层(共33层)                                                    | 2009年建 |                                 1室1厅 | 29平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_u6j6IE7I5_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,此房是清水四房，可以按照自己喜欢风格装修，户型方正,87万,低楼层(共32层)                                                    | 2007年建 |                                 3室1厅 | 124.23平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-8ffae832-86aa-4d14-9aaf-854c95a7a5a1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,祥和佳苑精装修三房+正看江+视野开阔无遮挡+出行方便,90万,中楼层(共32层)                                                    | 2007年建 |                                 3室2厅 | 122平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-b5738a03-05d3-448a-988d-b9c91956f2db.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,祥和佳苑一线江景房，装修入住两年时间,116万,高楼层(共33层)                                                    | 2012年建 |                                 4室2厅 | 143.7平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_P7hbwXsIR_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,滨江中路,时代港湾清水三室，户型方正采光好,95.8万,高楼层(共33层)                                                    | 2015年建 |                                 3室1厅 | 97.5平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_5njNJJA3N_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
