20191026,渝北,财富中心,住家装修跃层，朝北看中庭,住家安静,228万,中楼层(共18层)                                                    | 2006年建 |                                 3室2厅 | 154平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/prod-67e11fb2-c59b-4505-9ede-bd5733a29887.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,渝北财富汇，办公很合适 财富汇办公 诚心出售,86万,中楼层(共29层)                                                    | 2004年建 |                                 1室1厅 | 72.27平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-54c4babc-7544-4591-a5a9-5324a98bf512.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,财富 住家装修一室一厅 带家电家具 拎包入住,125万,中楼层(共25层)                                                    | 2006年建 |                                 1室1厅 | 79.29平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-2cb49601-c49e-448d-8f89-297d3dc34169.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,财富中心国际公寓 4室2厅 南,310万,中楼层(共4层)                                                    | 2006年建 |                                 4室2厅 | 163平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_HkgdX0d7U_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,渝北财富汇，办公很合适 财富汇办公  诚心出售,97万,中楼层(共29层)                                                    | 2004年建 |                                 1室1厅 | 80.47平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-3adb9015-c0d7-4202-b9ab-fa7eb23fa4ef.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,财富中心国际公寓 3室2厅 南,230万,低楼层(共4层)                                                    | 2006年建 |                                 3室2厅 | 131.86平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_Kv6DOdILa_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,此房是住家装修材料好，正规大三房，业主诚心卖,230万,低楼层(共31层)                                                    | 2006年建 |                                 3室2厅 | 138平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-6d6a6c4b-99cb-44dc-aab6-f33da81eeedf.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,渝北财富汇，办公很合适  环境舒适 诚心出售,62.4万,中楼层(共29层)                                                    | 2004年建 |                                 1室1厅 | 52.16平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-feb46c41-c49a-43f8-8a48-c2089f85b801.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,渝北财富汇，办公很合适 财富汇办公 环境舒适,121万,中楼层(共29层)                                                    | 2004年建 |                                 2室1厅 | 100.13平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-ce28ebc1-b540-4fe2-827d-a3081ce734a3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,财富小区高层，中间楼层，三梯六户，住家装修,235万,中楼层(共31层)                                                    | 2006年建 |                                 3室2厅 | 138平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-978f88d3-df47-4602-b0d7-49e1e90b060d.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,此房是住家装修材料好，朝向安静，业主诚心卖,123万,中楼层(共28层)                                                    | 2006年建 |                                 1室2厅 | 69.73平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-55d5d501-b1b1-4f87-92a4-fb456a3a2d9a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,渝北财富   正规一房   住家精装修   诚心出售,125万,高楼层(共28层)                                                    | 2006年建 |                                 1室1厅 | 69.73平米                                  | 西北,https://ke-image.ljcdn.com/500000-inspection/prod-4efbdab8-cdfe-40ba-b58b-de9ebac666b4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,渝北财富汇，办公很合适 财富汇办公  诚心出售,98万,中楼层(共29层)                                                    | 2004年建 |                                 1室1厅 | 80.47平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-26de00c2-78aa-445e-a54e-476854a812c2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,渝北财富汇，办公很合适 财富汇办公  诚心出售,62.4万,中楼层(共29层)                                                    | 2004年建 |                                 1室1厅 | 52.16平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-abfd7a72-8e6d-453d-92da-845088b6755c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,渝北财富汇，办公很合适 财富汇办公  诚心出售,86万,中楼层(共29层)                                                    | 2004年建 |                                 1室1厅 | 72.27平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-85ac4112-6c97-4a78-a3a7-0e4357d1bcb4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,金科品质联排，小区环境好，背靠照母山,600万,低楼层(共3层)                                                    | 2007年建 |                                 6室2厅 | 317平米                                  | 南,https://ke-image.ljcdn.com/500000-frame/8a3633e0-b177-4ab9-bc74-93b87198a048.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,新牌坊财富小区 住家大三房 看湖 视野开阔 诚售,200万,高楼层(共28层)                                                    | 2006年建 |                                 3室2厅 | 138.04平米                                  | 西 西北,https://ke-image.ljcdn.com/500000-frame/610998b6-4962-4c16-a30a-caab9d882616.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,中华坊别墅 大4房，安静环境好,450万,低楼层(共3层)                                                    | 2007年建 |                                 4室3厅 | 241.64平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/ff12ed11-78dd-4f76-987a-c11bad97d59c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,金科品质小区，花园洋房  17年装修 没住过,270万,中楼层(共5层)                                                    | 2004年建 |                                 4室2厅 | 150平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/eab23fe7-7391-46f8-ad84-5070dca1b244.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,金科中华坊紫园 装修两室 环境优美 交通方便 看照母山,137万,高楼层(共18层)                                                    | 2004年建 |                                 2室2厅 | 99.28平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/df62341a-ee5b-4be7-bfc5-531bec9d59df.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,金科中庭联排 花园80平 自住装修 邻光电园,560万,低楼层(共3层)                                                    | 2007年建 |                                 4室2厅 | 351.91平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/8ae8df9f-1183-4e77-b6d0-bbd6ead247f4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,幸福广场财富 成熟商圈，住宅性质，出门就是6号线,76万,高楼层(共21层)                                                    | 2015年建 |                                 1室0厅 | 45.34平米                                  | 南 北,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,渝北,财富中心,新派坊财富公寓，正规大三房，安静,200万,高楼层(共28层)                                                    | 2006年建 |                                 3室2厅 | 138平米                                  | 东南,https://ke-image.ljcdn.com/500000-frame/8938cce8-38ac-4921-a040-9f197b0619b4.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,金科品质小区 通透跃层 带屋顶花园70平 带车位,320万,中楼层(共5层)                                                    | 2004年建 |                                 5室2厅 | 225.16平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/7a16e82a-7195-4184-af9f-d84534687122.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,幸福广场财富 成熟商圈，住宅性质，出门6号线轻轨,195万,高楼层(共21层)                                                    | 2015年建 |                                 2室2厅 | 104.58平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,渝北,财富中心,财富中心国际公寓 4室1厅 南,255万,中楼层(共18层)                                                    | 2015年建 |                                 4室1厅 | 153.82平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/095456a9-56e5-4f77-921e-fd0be2d5b2f7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,住家装修，小区绿化高，交通便利,150万,低楼层(共18层)                                                    | 2006年建 |                                 2室2厅 | 95.3平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_fW9E0HOsU_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,品质洋房，步行500米就是照母山森林公园,220万,高楼层(共6层)                                                    | 2007年建 |                                 4室2厅 | 145平米                                  | 南 北,https://ke-image.ljcdn.com/500000-frame/14b0f80d-0303-44d5-8b47-f555d1feb31c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,财富小区高层，中间楼层跃层，两梯四户，住家装修,260万,低楼层(共18层)                                                    | 2006年建 |                                 4室2厅 | 164.8平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/a5f31a5d-151c-40b6-8f66-20dd679e256d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,金科品质联排，小区环境好，背靠照母山,680万,低楼层(共3层)                                                    | 2007年建 |                                 5室3厅 | 317平米                                  | 南,https://ke-image.ljcdn.com/500000-frame/ca52ddf1-f0a4-4b4e-bf53-0b450f763b28.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,此房户型方正，采光好，交通方便，可拎包入住.,300万,中楼层(共5层)                                                    | 2004年建 |                                 厅室未知 | 216平米                                  | 东南 东,https://ke-image.ljcdn.com/500000-inspection/be5bc0e7-3940-4263-aad4-be395c1b6608.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,财富小区洋房，底楼带花园，住家舒适   星光,290万,低楼层(共5层)                                                    | 2006年建 |                                 3室2厅 | 147.98平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/192e66e3-5f0d-4146-b479-8287d0be0125.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,渝北新牌坊财富公寓 板式花园洋房 朝中庭 诚售,210万,低楼层(共4层)                                                    | 2006年建 |                                 3室2厅 | 130.68平米                                  | 南,https://ke-image.ljcdn.com/500000-frame/004927e5-061c-4c52-8e8d-94738cfd378e.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,财富Center，C区看湖，业主诚售,205万,低楼层(共31层)                                                    | 2006年建 |                                 3室2厅 | 138平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/74943630-c488-4777-b112-e2d88cce344b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,财富汇 办公写字楼 看房有钥匙  可直接入住办公,72万,低楼层(共29层)                                                    | 2004年建 |                                 1室0厅 | 52平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/9f3e39c7-9bfb-43e4-ab6e-708469bf3ad5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,财富国际公寓跃层三房带书房、精装修看九龙湖,270万,高楼层(共18层)                                                4室2厅 | 150平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/4bf2964e-97cd-49b6-a555-1e89b94e065d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,财富高层，中间楼层跃层，两梯四户，住家装修,300万,中楼层(共18层)                                                    | 2006年建 |                                 3室2厅 | 154平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/55e5241c-19d0-4a20-8d7e-8f759296e703.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,渝北财富汇写字楼办公很合适，带装修,98万,高楼层(共29层)                                                    | 2004年建 |                                 1室2厅 | 72.27平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/9f04da6d-da67-4e6b-8f2c-ca1c8dbc1f6a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,新牌坊财富公寓 住家两房 朝中庭 拎包入住,115万,低楼层(共25层)                                                    | 2006年建 |                                 2室1厅 | 79.29平米                                  | 东,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,渝北,财富中心,财富中心国际公寓C区 3室2厅 东,180万,中楼层(共31层)                                                    | 2006年建 |                                 3室2厅 | 124平米                                  | 东,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,渝北,财富中心,渝北新牌坊 财富center跃层装修三房 朝南正看湖,270万,高楼层(共18层)                                                4室2厅 | 153平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,渝北,财富中心,小区洋房，中间楼层，户型方正，精装修。,300万,中楼层(共6层)                                                    | 2006年建 |                                 4室2厅 | 167平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,渝北,财富中心,渝北财富汇，办公很合适，带装修,62万,中楼层(共29层)                                                    | 2004年建 |                                 1室1厅 | 52.16平米                                  | 北,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,渝北,财富中心,楼层中高，视野很好，采光也好，出门方便,270万,高楼层(共18层)                                                    | 2016年建 |                                 3室2厅 | 153平米                                  | 南 北,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,渝北,财富中心,洋房小高层 住家舒适 拎包入住,320万,低楼层(共18层)                                                    | 2006年建 |                                 4室2厅 | 178平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,渝北,财富中心,南北朝向采光好；住家装修；值得拥有,228万,中楼层(共28层)                                                    | 2006年建 |                                 3室2厅 | 136平米                                  | 东南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,渝北,财富中心,渝北新牌坊  财富商圈  正规一室一厅  诚心出售,125万,中楼层(共25层)                                                    | 2006年建 |                                 1室2厅 | 63.7平米                                  | 北,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,渝北,财富中心,财富公寓优质房源，舒适宜居，您的购房新选择新上,118万,中楼层(共28层)                                                    | 2006年建 |                                 1室1厅 | 70.07平米                                  | 北,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=201910231435436
20191026,渝北,财富中心,财富小区电梯洋房，中间楼层，住家装修 带双车位,310万,低楼层(共6层)                                                    | 2006年建 |                                 4室2厅 | 166.73平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/prod-61b165f4-82fa-457a-b900-9f9203cf585d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,财富小区高层，三梯六户，简单装修两房,145万,低楼层(共31层)                                                    | 2006年建 |                                 2室1厅 | 82平米                                  | 东北,https://ke-image.ljcdn.com/500000-inspection/prod-322485f5-23e0-466f-91dc-40b4703c47b6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,值得一看的跃层大户型，每个卧室客厅通透,320万,低楼层(共18层)                                                    | 2006年建 |                                 3室1厅 | 153.82平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-53545c30-5d83-4768-a18f-7f47822d4abc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,渝北,财富中心,金科品质 中式风格联排 花园60平 精装拎包住,470万,低楼层(共3层)                                                    | 2007年建 |                                 5室2厅 | 342.7平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/23444754-89e8-4075-8aee-a82ec208446c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
