20191026,江津,祥瑞片区,湖上带装修3居，拎包入住，满两年，户型方正,78.6万,低楼层(共7层)                                                    | 2007年建 |                                 3室2厅 | 130平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_r5wBTV1o5_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,水木年华湖上环境安静 出行方便,70万,中楼层(共5层)                                                    | 2007年建 |                                 3室2厅 | 146.99平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-68f3bc31-e8b2-43e2-bc0a-8276e6e18a23.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,江津御景华庭两房出售，采光很好,58万,低楼层(共33层)                                                    | 2010年建 |                                 2室2厅 | 67.8平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-d0361c19-86b2-420f-b624-e730d6cfff1d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,朗苑一室优质小区新世和好界又多旁购物方便,20万,高楼层(共32层)                                                    | 2011年建 |                                 1室1厅 | 30.05平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-10ff7957-1712-4d43-b717-2e948d9e7bfc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,水木年华青木苑大两室两厅一卫，带花园房！,43万,高楼层(共7层)                                                    | 2005年建 |                                 2室2厅 | 100.38平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-7df979ae-332c-4447-b963-d40d8e88c97f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,青木苑步行房顶跃，带装修家居家电和屋顶花园,69.6万,高楼层(共7层)                                                    | 2005年建 |                                 3室2厅 | 135平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-70dc4a02-f158-4654-81af-59a1b8d523ad.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,朗苑 庭院时光住家装修两室  有家具家电,62.8万,中楼层(共32层)                                                    | 2017年建 |                                 2室2厅 | 66.5平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-68375a8e-61ea-48de-bae3-ddb641ab6fbc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,朗苑电梯房带装修两室 满两年 安心出售 看房方便,53.8万,低楼层(共32层)                                                    | 2017年建 |                                 2室1厅 | 65.8平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-e549efba-c423-4c6f-bd1f-3b6adbeb726b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,该房是御景华庭精装修的三房，装修保持的很新,89.8万,中楼层(共33层)                                                    | 2010年建 |                                 3室2厅 | 104平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-a18cf47b-3fb5-4f43-b585-a57f96284b51.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,重齿集资楼正两房带装修安心出售,49.8万,低楼层(共27层)                                                    | 2007年建 |                                 2室2厅 | 79平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-9cc37cf0-de8b-42e7-903c-d9bdfbd09b68.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,水木年华湖上小高层电梯房，带装修，带家具家电,35万,低楼层(共12层)                                                    | 2008年建 |                                 1室1厅 | 44.37平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-328f1758-f4d7-4819-afa0-e7f58fe526ed.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,水木年华青木苑步行房+前后看小区中庭+拎包入住,70万,中楼层(共7层)                                                    | 2005年建 |                                 3室2厅 | 137平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-9c2ba2da-9782-478c-bb50-eefdb320b059.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,朗苑精装一室一厅，家具家电齐全拎包入住,29万,高楼层(共32层)                                                    | 2011年建 |                                 1室1厅 | 42平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-31c7ac7e-6ad9-4d45-a1c1-2c8e7a215fa9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,朗苑 清水三室 提前联系可以看房,79.8万,低楼层(共32层)                                                    | 2017年建 |                                 3室2厅 | 89.2平米                                  | 南 北,https://ke-image.ljcdn.com/500000-inspection/prod-178be4cb-ff49-41f2-a894-39f060b8e3e5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,正规两室带装修，视野效果好。装修未住过人,72万,中楼层(共33层)                                                    | 2010年建 |                                 2室2厅 | 75平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-15ae99de-9789-410a-a236-0ebc767c1c42.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,朗苑，正两室，采光好，家电全齐拎包入住,53.8万,高楼层(共32层)                                                    | 2011年建 |                                 2室1厅 | 83.5平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-b888c2ac-f5d3-4572-acfc-044f0b47f9b3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,园丁大厦的三房，业主简单的收拾了一下，可以拎包入住,63.8万,低楼层(共28层)                                                    | 2005年建 |                                 3室2厅 | 120平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-28c8ab44-965e-46a5-9c08-929960d77dc3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,江津祥瑞朗苑电梯房出售，一室一厅。,33.8万,高楼层(共32层)                                                    | 2011年建 |                                 1室1厅 | 46.82平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/test-0d615c6a-def4-45f9-9a80-0cd607297539.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,该房为御景华庭精装修的两房，户型方正,65万,低楼层(共33层)                                                    | 2010年建 |                                 2室2厅 | 73.76平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-a27894dd-757f-4b6f-b357-caa5777a93f3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,水木年华青木苑 大三房 住家装修 出售,76万,高楼层(共33层)                                                    | 2005年建 |                                 3室2厅 | 111.72平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-d21d4a83-7cb5-4a5a-9ec4-689e258abdb8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,该房是住家装修三房，保持好，带家具家电，采光好,78.8万,中楼层(共27层)                                                    | 2007年建 |                                 3室2厅 | 123平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-0f871a2b-6ab6-4444-a025-2c011b9dabe9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,清水跃层，可按照自己喜欢的风格装修,63.8万,中楼层(共34层)                                                    | 2010年建 |                                 3室2厅 | 71平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-582e1bf2-aff2-49da-9583-a59e8ef6e5c0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,水木年华湖上带装修电梯正两房安心出售。,56.6万,低楼层(共34层)                                                    | 2008年建 |                                 2室2厅 | 83平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-ea9928a9-b896-4cd9-9bcc-2857ee2ee8c9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,青木苑装修三房，装修保持较新，户型方正，采光不错,63万,高楼层(共7层)                                                    | 2005年建 |                                 3室2厅 | 130.7平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-b055e7b0-a103-4bb3-9cdc-fa7d204068af.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,水木年华湖上顶跃，带装修还有屋顶花园，菜园子。,121万,高楼层(共34层)                                                    | 2008年建 |                                 4室2厅 | 74.67平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-fbb62605-761c-432c-a07a-22c81f978b60.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,水木年华青木苑两室，小区绿化好，出脚方便,52万,中楼层(共33层)                                                    | 2005年建 |                                 2室2厅 | 70平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-246f1831-e15d-486a-8758-5c0d900c9311.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,琅山区域朗苑小区一室一厅带装修,29.8万,低楼层(共32层)                                                    | 2011年建 |                                 1室1厅 | 41平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-22176a1e-f594-4fbc-b1e9-06206961172c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,小三房  家具电器齐全 户型方正 无异形,59.8万,中楼层(共32层)                                                    | 2011年建 |                                 3室2厅 | 84平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-4c599cd7-416a-44bf-8491-f8620a5aebb9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,水木年华湖上的带装修大2房，户型方正，采光好,55.6万,中楼层(共7层)                                                    | 2007年建 |                                 2室2厅 | 92.75平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_DCJf11LCu_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,朗苑 电梯中楼层 带装修 带家具家电 满两年 出售,32.8万,中楼层(共32层)                                                    | 2011年建 |                                 2室1厅 | 37.8平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-05644dd6-b523-47c0-9b5f-041a22ea658e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,水木年华湖上 带装修两室 有家具家电,43.8万,中楼层(共34层)                                                    | 2008年建 |                                 2室1厅 | 48.83平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-52d350df-51cf-4a54-9234-e22c76dc7f97.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,御景华庭精装修两室，视野开阔，业主急售,68万,中楼层(共33层)                                                    | 2010年建 |                                 2室2厅 | 72.27平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_wHwwQmTvV_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,水木年华青木苑装修三房+证满两年+看房子提前联系,80万,低楼层(共33层)                                                    | 2005年建 |                                 3室2厅 | 134.5平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-b89f0f16-ed3b-4191-8237-ed7abcd6d0f2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,水木年华湖上一楼带转角私家花园,93万,地下室(共7层)                                                    | 2007年建 |                                 3室1厅 | 105平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/pc1_WpPnbak68_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,该房  带入户花园 没有浪费空间 视野开阔 采光好,72万,高楼层(共7层)                                                    | 2005年建 |                                 3室2厅 | 130平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-b12d66b0-16dd-403f-a6db-2da16e3ddcc5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,房子户型方正，采光好，装修保持好,51万,中楼层(共34层)                                                    | 2008年建 |                                 2室2厅 | 73平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_wK4QUs4iN_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,水木年华青木苑  电梯房三室  随时看房,75.8万,高楼层(共18层)                                                    | 2005年建 |                                 3室2厅 | 91平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-8ed7a4ff-bea5-43d4-92ca-ceeba5b048f1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,御景华庭电梯花园洋房 .朝中庭,220万,低楼层(共6层)                                                    | 2010年建 |                                 3室2厅 | 146平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_2c8JfPkHW_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,水木年华充齿清水三房大阳台正可眺望长江。,73万,高楼层(共27层)                                                    | 2007年建 |                                 3室2厅 | 149.4平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-af282f63-628d-4a77-a90f-6309f205bc43.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,御景华庭毛坯三房，可看江，随时看房,79.8万,中楼层(共33层)                                                    | 2010年建 |                                 3室2厅 | 108平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-1752ed36-087c-4e09-b057-78206f6e7c81.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,津华大厦全新装修三室两卫，出行很方便，拎包入住,77.8万,中楼层(共31层)                                                    | 2006年建 |                                 3室2厅 | 139平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-79063f7d-8fd0-4c00-85cd-ba24143e7353.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,时尚天街上清水四室，按自己的风格随便装,78万,中楼层(共28层)                                                    | 2005年建 |                                 4室2厅 | 175平米                                  | 西南,https://ke-image.ljcdn.com/500000-inspection/test-fb35f54f-e803-4216-828e-cb5a718133fe.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,出售江津区水木年华湖上装修好的两室,60万,中楼层(共34层)                                                    | 2008年建 |                                 2室2厅 | 86.7平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-9845bdf6-90a5-4b64-a483-bd422f6a4767.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,清水三房，户型方正，采光好，视野效果开阔,75万,高楼层(共27层)                                                    | 2007年建 |                                 3室2厅 | 149.4平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-a974f1ac-2e1e-4c78-935d-3628e2b2fe40.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,青木苑装修两房，装修保持较新，户型方正，采光不错。,62万,高楼层(共18层)                                                    | 2005年建 |                                 2室1厅 | 94平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-dbcd8710-36e1-462c-b38b-825b821e268b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,水木年华湖上电梯房，带装修，带家具家电，,35.8万,低楼层(共34层)                                                    | 2008年建 |                                 1室1厅 | 50平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-51b8f723-ed14-416a-b8e3-370fde2e9b60.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,重齿集资楼装修大两室，视野开阔,59.8万,高楼层(共27层)                                                    | 2007年建 |                                 2室2厅 | 100平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-fe29c832-fd5c-4c85-b3f8-03878853c632.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,麻雀虽小，五脏俱全  港龙江津的购物地方，带天然气,26万,低楼层(共32层)                                                    | 2011年建 |                                 1室0厅 | 30.05平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-677de97e-050c-48a0-84f1-12120e69dd4b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,此小区规模大，配套设施完善，户型方正，采光通风好,55.8万,高楼层(共18层)                                                    | 2008年建 |                                 2室2厅 | 89.89平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/pc1_4kggkSGDk_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,湖上带装修两室 带家具电器，无增值税,56万,中楼层(共34层)                                                    | 2008年建 |                                 2室1厅 | 82.95平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-4ed7dca6-85d6-4590-a86a-760870095a6f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,御景华庭精装修三室看中庭小区带家具电器,92.8万,低楼层(共33层)                                                    | 2010年建 |                                 3室2厅 | 99平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-a170ff36-e85f-4182-99db-d70dd10e191a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,御景华庭精装两房平层，带家具家电一起出售,60.8万,高楼层(共33层)                                                    | 2010年建 |                                 2室1厅 | 69.15平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-b9433e5b-7d11-4231-bb88-a6c4438996d8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,园丁大厦装修四室，可拎包入住。,102万,高楼层(共28层)                                                    | 2005年建 |                                 4室2厅 | 176平米                                  | 北,https://ke-image.ljcdn.com/500000-inspection/pc1_MSDvaPkVs_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,江津祥瑞片区成熟楼盘，出入方便。,21.5万,高楼层(共32层)                                                    | 2011年建 |                                 1室1厅 | 30.05平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-e7898562-b539-4a1c-8f0d-3c64d259d750.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,此小区规模大，配套设施完善，户型方正，采光通风好,89.7万,低楼层(共12层)                                                    | 2008年建 |                                 3室1厅 | 132.8平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-22174b09-80c8-43a3-a518-3245cb8de524.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,重齿集资楼电梯大三房清水房朝向好,75万,低楼层(共27层)                                                    | 2007年建 |                                 3室2厅 | 149平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_5BvgvfjGP_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,清水房，户型方正，采光还好，朝南,78万,低楼层(共27层)                                                    | 2007年建 |                                 3室2厅 | 149.4平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/test-585fd573-4adf-4458-98d4-301604af716c.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,重齿集资楼带装修两室，满两年，无增值税,70万,高楼层(共27层)                                                    | 2007年建 |                                 2室2厅 | 123平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-a54cceee-f16b-48f3-b915-c0ebbf474981.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,江津御景华庭两房出售，采光很好,58万,低楼层(共33层)                                                    | 2010年建 |                                 2室1厅 | 67平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-59ba8cb6-2b6e-4b56-b35c-76ca648935bc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,朗苑小区中装修三室带家具电器视野好,75万,高楼层(共28层)                                                    | 2011年建 |                                 3室2厅 | 95平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-17b423d1-2d6b-4b02-8aba-ba7f66d8390a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,朗苑一室一厅。看房方便，安心出售，欢迎随时看房,29万,低楼层(共32层)                                                    | 2011年建 |                                 1室1厅 | 41平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-02d54d9f-f2c9-4173-b28a-a2d56612c810.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,津华大厦住家精装三房，采光通透，出行方便,75万,中楼层(共31层)                                                    | 2006年建 |                                 3室2厅 | 142平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-0aadc4c8-269c-49e1-8a00-5791501acff8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,湖上带装修两居，拎包入住，满两年，户型方正,62万,中楼层(共34层)                                                    | 2008年建 |                                 2室1厅 | 86.3平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-941bbbb9-b3d2-41ef-9967-53cd00903f47.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,房子户型方正采光好，保持比较新，业主安心卖！,30.6万,高楼层(共32层)                                                    | 2011年建 |                                 2室1厅 | 37.5平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-5a0c673f-a497-44e6-a1da-5428006e466b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,水木年华青木苑精装修三室带家电家具,72.8万,中楼层(共7层)                                                    | 2005年建 |                                 3室2厅 | 111.99平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-78a85489-1a35-467c-9f62-c0acc5cc6060.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,满2年，无增值税。装修保持新，方便看房,65万,低楼层(共34层)                                                    | 2010年建 |                                 2室2厅 | 64.39平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-2e8fabf8-7b36-46d0-bf31-e6546b104a66.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,湖上精装大两房，业主安心出售，房屋装修保持好,80万,中楼层(共7层)                                                    | 2007年建 |                                 2室1厅 | 108平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_ALB3GtgaN_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,水木年华湖上精装三房 低楼层 总价低 满五年方便交易新上,66.8万,低楼层(共34层)                                                    | 2008年建 |                                 3室2厅 | 96.6平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-6ef6e3e6-e8f2-4aac-bda0-9ace27c9604a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,东部新城御景华庭精装修2房拎包入住,68万,低楼层(共33层)                                                    | 2010年建 |                                 2室1厅 | 74平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-98f95d18-0949-4c25-9215-1628e894419a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,御景华庭正三房看江出售，楼层合适,85万,中楼层(共33层)                                                    | 2010年建 |                                 3室1厅 | 107.92平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-fcb3d040-3101-42e6-bf1c-1e397c184b54.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,正规三室。采光好。清水按照自己风格装修,90万,高楼层(共33层)                                                    | 2010年建 |                                 3室1厅 | 108.2平米                                  | 东,https://ke-image.ljcdn.com/500000-inspection/prod-e12d8dc1-b327-42fe-9f60-37d643f6a60e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,青木苑精装两房，装修保持较新，户型方正，采光不错,51万,低楼层(共33层)                                                    | 2005年建 |                                 2室1厅 | 72.8平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/pc1_WBQslDDrf_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,湖上住家装修两房 房子户型方正，采光好，装修保持好新上,55.8万,中楼层(共34层)                                                    | 2008年建 |                                 2室1厅 | 90平米                                  | 东南,https://ke-image.ljcdn.com/500000-inspection/prod-355305dc-aa15-4f1b-a308-804a6afa3f43.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20191026,江津,祥瑞片区,住家装修，户型方正，采光好通风好,85万,高楼层(共11层)                                                    | 2005年建 |                                 3室2厅 | 138.46平米                                  | 南,https://ke-image.ljcdn.com/500000-inspection/prod-1b0b5dba-f71b-491e-9eb7-07aee1dbb922.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
